№ строки	Наименование объекта	Адрес	Муниципальный район и административный округ	Судебный район	Судья	Телефон	Факс	Адрес электронной почты
12	Судебный участок №41	115582 ул. Домодедовская д.24, корп.5	Район Зябликово ЮАО	Нагатинский	Плаксина Ольга Александровна	(495)343-12-77	(495)343-23-26	mirsud41@ums-mos.ru
13	Судебный участок №42	115582 ул. Домодедовская д.24, корп.5	Район Зябликово ЮАО	Нагатинский	Шаренкова Марина Николаевна	(495)392-43-26	(495)391-98-94	mirsud42@ums-mos.ru
14	Судебный участок №43	115582 ул. Домодедовская д.24, корп.5	Район Зябликово ЮАО	Нагатинский	Калашникова Мария Валерьевна	(495)391-75-08	(495)343-42-98	mirsud43@ums-mos.ru
15	Судебный участок №44	115582 ул. Домодедовская д.24, корп.5	Район Орехово-Борисово Южное ЮАО	Нагатинский	Звездкина Анна Сергеевна	(495)343-46-11	(495)343-28-31	mirsud44@ums-mos.ru
16	Судебный участок №45	115582 ул. Домодедовская д.24, корп.5	Район Орехово-Борисово Южное ЮАО	Нагатинский	Азымова Мадина Рашитовна	(495)391-61-37	(495)391-61-37	mirsud45@ums-mos.ru
17	Судебный участок №46	115582 ул. Домодедовская д.24, корп.5	Район Орехово-Борисово Южное ЮАО	Нагатинский	Скульская Наталия Владимировна	(495)392-23-31	(495)391-83-29	mirsud46@ums-mos.ru
18	Судебный участок №47	115582 ул. Домодедовская д.24, корп.5	Район Орехово-Борисово Южное ЮАО	Нагатинский	Анисей Андрей Владимирович	(495)392-00-62	(495)392-24-80	mirsud47@ums-mos.ru
19	Судебный участок №48	117292    Нахимовский пр-т, д.56	Район Черёмушки ЮЗАО	Черёмушкинский	не назначен	(495) 718-97-39	(495)718-97-49	mirsud48@ums-mos.ru
20	Судебный участок №49	117418  ул. Новочерёмушкинская д.49, корп.1	Район Черёмушки ЮЗАО	Черёмушкинский	не назначен	(499)128-09-30	(499)128-58-28	mirsud49@ums-mos.ru
21	Судебный участок №50	117418  ул. Новочерёмушкинская д.49, корп.1	Район Черёмушки ЮЗАО	Черёмушкинский	Склярова Ирина Владимировна	(499)120-41-97	(499)128-07-44	mirsud50@ums-mos.ru
22	Судебный участок №51	117485 ул. Профсоюзная д.94, корп.2	Район Коньково ЮЗАО	Черёмушкинский	Бондарь Людмила Ивановна	(499)793-42-59	(495)779-28-00	mirsud51@ums-mos.ru
23	Судебный участок №52	117485 ул. Профсоюзная д.94, корп.2	Район Коньково ЮЗАО	Черёмушкинский	не назначен	(495)779-20-77	(495)779-25-88	mirsud52@ums-mos.ru
24	Судебный участок №53	117485 ул. Профсоюзная д.94, корп.2	Район Коньково ЮЗАО	Черёмушкинский	не назначен	(495)779-25-33	(495)779-26-55	mirsud53@ums-mos.ru
25	Судебный участок №54	117342 ул. Миклухо-Маклая д.40, корп.1	Район Коньково ЮЗАО	Черёмушкинский	Сошникова Надежда Николаевна	(495)420-30-44	(495)420-22-15	mirsud54@ums-mos.ru
26	Судебный участок №55	117465  ул.  Генерала Тюленева д.31, корп.1	Район Тёплый Стан ЮЗАО	Черёмушкинский	Брехова Светлана Ивановна	(495)424-25-29	(495)424-30-01	mirsud55@ums-mos.ru
27	Судебный участок №56	117437 ул. Ак.Волгина, д.25, корп.1	Район Тёплый Стан ЮЗАО	Черёмушкинский	Афанасьева Наталья Васильевна	(495)330-33-47	(495)330-36-60	mirsud56@ums-mos.ru
28	Судебный участок №57	117465  ул.  Генерала Тюленева д.31, корп.1	Район Тёплый Стан ЮЗАО	Черёмушкинский	не назначен	(495)424-15-91	(495)424-13-50	mirsud57@ums-mos.ru
29	Судебный участок №59	117574 ул. Вильнюсская д.13	Район Ясенево ЮЗАО	Черёмушкинский	Моргунова Ирина Ивановна	(495)427-93-84	(495)427-95-90	mirsud59@ums-mos.ru
30	Судебный участок №60	117574 ул. Вильнюсская д.13	Район Ясенево ЮЗАО	Черёмушкинский	не назначен	(499)724-42-67	(495)427-94-66	mirsud60@ums-mos.ru
31	Судебный участок №58	117465  ул.  Генерала Тюленева д.31, корп.1	Район Тёплый Стан ЮЗАО	Черёмушкинский	не назначен	(495)424-24-44	(495)424-48-91	mirsud58@ums-mos.ru
32	Судебный участок №61	117574 ул. Вильнюсская,д.13	Район Ясенево ЮЗАО	Черёмушкинский	Петухова Лариса  Александровна	(495)427-94-82	(495)427-93-39	mirsud61@ums-mos.ru
33	Судебный участок №63	117574 пр-д Одоевского д.11, корп.7	Район Ясенево ЮЗАО	Черёмушкинский	Сидорова Жанна Григорьевна	(495)427-94-54	(495)427-94-91	mirsud63@ums-mos.ru
34	Судебный участок №64	117574 ул. Вильнюсская,д.13	Район Ясенево ЮЗАО	Черёмушкинский	Боднарь Валерия Викторовна	(495)427-95-01	(495)427-95-66	mirsud64@ums-mos.ru
35	Судебный участок №65	125493 ул. Пулковская, д.4, к.3	Молжаниновский район САО	Головинский	Колесниченко Ольга Александровна	(495)708-01-18	(495)708-01-28	mirsud65@ums-mos.ru
36	Судебный участок №66	125493 ул. Пулковская, д.4, к.3	Район Левобережный САО	Головинский	Кулакова Ирина Викторовна	(495)708-01-48	(495)708-01-53	mirsud66@ums-mos.ru
37	Судебный участок №67	125493 ул. Пулковская, д.4, к.3	Район Левобережный САО	Головинский	Круглова Мария Евгеньевна	(495)708-01-61	(495)708-01-81	mirsud67@ums-mos.ru
38	Судебный участок №68	125493 ул. Пулковская, д.4, к.3	Район Ховрино САО	Головинский	Орлова Елена Сергеевна	(495)708-01-64	(495)708-01-58	mirsud68@ums-mos.ru
39	Судебный участок №69	125493 ул. Пулковская, д.4, к.3	Район Ховрино САО	Головинский	Климова Светлана Анатольевна	(495)708-01-73	(495)708-01-97	mirsud69@ums-mos.ru
40	Судебный участок №70	125493 ул.Пулковская,д.4, к.3	Район Ховрино САО	Головинский	Белавкина Елена Николаевна	(495)708-01-90	(495)708-01-19	mirsud70@ums-mos.ru
41	Судебный участок №71	125438 1-й Лихачевский пер., д.8	Головинский район  САО	Головинский	Кожбакова Ольга Михайловна	(495)708-60-39	(495)708-60-37	mirsud71@ums-mos.ru
42	Судебный участок №72	125438 1-й Лихачевский пер.,д.8	Головинский  район САО	Головинский	Барыкина Марина Вадимовна	(495)456-11-05	(495)456-66-90	mirsud72@ums-mos.ru
43	Судебный участок №1	124305 Зеленоград, корп.200Г	Район Матушкино (прежний район Матушкино-Савёлки) Зеленоград	Зеленоградский	Никульшина Олеся Александровна	(499)735-74-26	(499)735-96-36	mirsud1@ums-mos.ru
44	Судебный участок №2	124489 Зеленоград, корп.706	Район Савелки (прежний район Матушкино-Савёлки) Зеленоград	Зеленоградский	Михайлова Ирина Александровна	(495)944-60-00	(495)944-69-00	mirsud2@ums-mos.ru
45	Судебный участок №3	124489 Зеленоград, корп.706	Район Савелки (прежний район Матушкино-Савёлки) Зеленоград	Зеленоградский	Можарова Мария Евгеньевна	(499)735-42-80	(495)944-68-20	mirsud3@ums-mos.ru
46	Судебный участок №4	124527 Зеленоград, корп.856	Район Старое Крюково (прежний  Панфиловский район) Зеленоград	Зеленоградский	Багрова Марина Алексеевна	(499)710-06-86	(499)710-26-33	mirsud4@ums-mos.ru
47	Судебный участок №5	124681 Зеленоград, корп.856	Район Силино (прежний Панфиловский Район) Зеленоград	Зеленоградский	не назначен	(499)732-37-97	(499)732-18-00	mirsud5@ums-mos.ru
48	Судебный участок №6	124527 Зеленоград,корп.856	Район Силино (прежний Панфиловский Район) Зеленоград	Зеленоградский	Васильева Светлана Николаевна	(499)732-01-42	(499)731-90-41	mirsud6@ums-mos.ru
49	Судебный участок №7	124365 ул. Заводская, д.14	Район Крюково Зеленоград	Зеленоградский	Шелкошвейн Елена Викторовна	(499)738-30-89	(499)733-54-30	mirsud7@ums-mos.ru
50	Судебный участок №8	124365 Зеленоград, корп.1801Б	Район Крюково Зеленоград	Зеленоградский	Силина Екатерина Владимировна	(499)733-59-70	(499)733-06-30	mirsud8@ums-mos.ru
51	Судебный участок №9	124681 ул. Заводская, д.14	Район Крюково Зеленоград	Зеленоградский	Лысенко Юрий Николаевич	(499)738-29-15	(499)733-16-01	mirsud9@ums-mos.ru
52	Судебный участок №10	117186 ул. Нагорная д.26, корп.1	Район Котловка ЮЗАО	Зюзинский	Вотинова Галина Юрьевна	(499)123-14-21	(499)123-11-32	mirsud10@ums-mos.ru
53	Судебный участок №11	117186 ул. Нагорная д.26, корп.1	Район Котловка ЮЗАО	Зюзинский	не назначен	(499)127-11-00	(499)123-94-85	mirsud11@ums-mos.ru
54	Судебный участок №12	117149 ул. Азовская, д.13	Район Зюзино ЮЗАО	Зюзинский	Белявская Александра Викторовна	(495)318-18-96	(495)318-16-69	mirsud12@ums-mos.ru
55	Судебный участок №13	117149 ул. Азовская, д.13	Район Зюзино ЮЗАО	Зюзинский	Казакова Александра Викторовна	(495)318-21-79	(495)318-23-61	mirsud13@ums-mos.ru
56	Судебный участок №14	117149 ул. Азовская, д.13	Район Зюзино ЮЗАО	Зюзинский	Артемьева Оксана Николаевна	(495)318-20-90	(495)318-24-98	mirsud14@ums-mos.ru
57	Судебный участок №15	117628 ул. Грина, д.40, корп.1	Район Северное Бутово ЮЗАО	Зюзинский	Рачиков Геннадий Васильевич	(495)714-98-66	(495)714-98-88	mirsud15@ums-mos.ru
58	Судебный участок №16	117628 ул. Грина д.40, корп.1	Район Северное Бутово ЮЗАО	Зюзинский	Симонова Елена Александровна	(495)714-98-33	(495)714-98-44	mirsud16@ums-mos.ru
59	Судебный участок №17	117628 ул. Грина, д.40, корп.1	Район Северное Бутово ЮЗАО	Зюзинский	не назначен	(495)714-98-22	(495)714-98-00	mirsud17@ums-mos.ru
60	Судебный участок №18	117623 ул. Брусилова, д.31	Район Южное Бутово ЮЗАО	Зюзинский	Савченко Ирина Алефтиновна	(499)232-52-27	(499)232-52-36	mirsud18@ums-mos.ru
61	Судебный участок №19	117623 ул. Старонародная, д.2	Район Южное Бутово ЮЗАО	Зюзинский	Громов Яков Александрович	(495)712-54-09	(495)712-78-27	mirsud19@ums-mos.ru
62	Судебный участок №20	117623 ул. Старонародная, д.2	Район Южное Бутово ЮЗАО	Зюзинский	Зезелева Надежда Сергеевна	(495)712-66-18	(495)712-60-54	mirsud20@ums-mos.ru
63	Судебный участок №21	115280 ул. Автозаводская д.17, корп. 2	Район Нагатино-Садовники ЮАО	Симоновский	Галкин Алексей Анатольевич	(495)675-29-12	(495)675-28-18	mirsud21@ums-mos.ru
64	Судебный участок №22	115280 ул. Автозаводская д.17, корп. 2	Район Нагатино-Садовники ЮАО	Симоновский	Армяшина Елена Александровна	(495)675-14-33	(495)675-13-16	mirsud22@ums-mos.ru
65	Судебный участок №23	115408 ул. Братеевская д.18, корп.5	Район Москворечье- Сабурово ЮАО	Нагатинский	Очаковская Мария Александровна	(495)655-95-76	(495)340-00-01	mirsud23@ums-mos.ru
66	Судебный участок №24	115408 ул. Братеевская д.18, корп.5	Район Москворечье- Сабурово ЮАО	Нагатинский	Ильина Зинаида Михайловна	(495)340-28-01	(495)342-78-27	mirsud24@ums-mos.ru
67	Судебный участок №26	115280 ул. Автозаводская д.17, корп. 2	Район Царицыно ЮАО	Нагатинский	Музалевская Татьяна Алексеевна	(499)764-19-23	(495)675-76-85	mirsud26@ums-mos.ru
68	Судебный участок №27	115280 ул. Автозаводская д.17, корп. 2	Район Царицыно ЮАО	Нагатинский	не назначен	(495)675-83-95	(495)675-80-31	mirsud27@ums-mos.ru
69	Судебный участок №28	115280 ул. Автозаводская д.17, корп. 2	Район Царицыно ЮАО	Нагатинский	Бондаренкова Ирина Владимировна	(499)764-19-36	(495)675-84-48	mirsud28@ums-mos.ru
70	Судебный участок №29	115280 ул. Автозаводская д.17, корп. 2	Район Бирюлёво Восточное ЮАО	Нагатинский	Муравьёва Наталья Валентиновна	(499)764-19-64	(495)675-75-71	mirsud29@ums-mos.ru
71	Судебный участок №73	125475 ул. Зеленоградская, д.21	Головинский район САО	Головинский	Серебряков Алексей Васильевич	(495)455-46-02	(495)455-05-93	mirsud73@ums-mos.ru
72	Судебный участок №74	124489 Зеленоград, корп.706	Район Матушкино (прежний район Матушкино-Савёлки) Зеленоград	Зеленоградский	не назначен	(499)944-61-16	(499)734-50-61	mirsud74@ums-mos.ru
73	Судебный участок №75	125493 ул.Пулковская,д.4, к.3	Войковский район САО	Головинский	не назначен	(495)708-01-93	(495)708-00-43	mirsud75@ums-mos.ru
74	Судебный участок №76	125475 ул. Зеленоградская, д.21	Войковский район САО	Головинский	Назарова Наталья Николаевна	(495)455-94-37	(495)455-69-54	mirsud76@ums-mos.ru
75	Судебный участок №77	Ходынский бульвар,  д. 5, к. 3	Район Сокол САО	Савёловский	не назначен	(499)762-84-02	(495)455-62-78	mirsud77@ums-mos.ru
76	Судебный участок №78	ул. Черняховского, д.17, к.1	Район Сокол САО	Савёловский	не назначен	(499)747-98-16	(495)708-61-10	mirsud78@ums-mos.ru
77	Судебный участок №80	127273 ул. Отрадная, д.18Б	Район Лианозово СВАО	Бутырский	не назначен	(499)203-33-83	(495)904-97-77	mirsud80@ums-mos.ru
78	Судебный участок №81	127273 ул. Отрадная, д.18Б	Район Лианозово СВАО	Бутырский	Захарова Ирина Николаевна	(499)745-66-21	(499)203-50-44	mirsud81@ums-mos.ru
79	Судебный участок №82	127273 ул. Отрадная, д.18Б	Район Лианозово СВАО	Бутырский	Трошина Анна Леонидовна	(499)203-50-95	(499)904-97-55	mirsud82@ums-mos.ru
80	Судебный участок №83	127349 Шенкурский проезд, д.12б	Район Бибирево СВАО	Бутырский	не назначен	(499)908-74-45	(499)908-74-17	mirsud83@ums-mos.ru
81	Судебный участок №84	127549 ул. Пришвина, д.10	Район Бибирево СВАО	Бутырский	Петров Виктор Николаевич	(499)206-75-94	(499)206-75-87	mirsud84@ums-mos.ru
82	Судебный участок №85	127549 ул. Пришвина, д.10	Район Бибирево СВАО	Бутырский	Начинкина Татьяна Петровна	(499)206-75-86	(499)206-91-87	mirsud85@ums-mos.ru
83	Судебный участок №86	127549 ул. Пришвина, д.10	Район Бибирево СВАО	Бутырский	Семченко Анна Сергеевна	(499)207-92-01	(499)206-94-56	mirsud86@ums-mos.ru
84	Судебный участок №87	127273 ул. Отрадная, д.18Б	Район Бибирево СВАО	Бутырский	Ратушний Олег Николаевич	(499)745-66-10	(499)904-96-90	mirsud87@ums-mos.ru
85	Судебный участок №88	127273 ул. Отрадная, д.18Б	Алтуфьевский район СВАО	Бутырский	Минкина Екатерина Александровна	(499)904-88-97	(499) 904-97-08	mirsud88@ums-mos.ru
86	Судебный участок №104	107113 ул. 3-я Рыбинская, д.30.	Район Сокольники ВАО	Преображенский	не назначен	(499)268-05-65	(499)268-19-58	mirsud104@ums-mos.ru
87	Судебный участок №105	107113 ул. 3-я Рыбинская, д.30	Район Сокольники ВАО	Преображенский	Смирнова Мария Владимировна	(499)748-02-23	(499)268-70-19	mirsud105@ums-mos.ru
88	Судебный участок №106	115280 ул. Автозаводская д.17, корп. 2	Район Бирюлёво Вос-ое ЮАО	Нагатинский	Шикарёва Светлана Александровна	(495)675-62-60	(499)764-19-53	mirsud106@ums-mos.ru
89	Судебный участок №107	115582 ул. Домодедовская д.24, корп.5	Район Зябликово ЮАО	Нагатинский	не назначен	(495)392-28-21	(495)343-41-47	mirsud107@ums-mos.ru
90	Судебный участок №108	107258 ул. Игральная, д.5	Район Богородское ВАО	Преображенский	не назначен	(499)748-32-86	(499)785-51-34	mirsud108@ums-mos.ru
91	Судебный участок №109	107150 3-й проезд Подбельского,  д.22, корп.3	Район Богородское ВАО	Преображенский	Карамина Марина Николаевна	(499)780-41-36	(499)780-44-75	mirsud109@ums-mos.ru
92	Судебный участок №110	107370 Открытое шоссе, д.6, корп.13;	Район Богородское ВАО	Преображенский	не назначен	(495)603-18-16	(499)785-54-69	mirsud110@ums-mos.ru
93	Судебный участок №111	107392 ул. Просторная д.14, корп.1	Район Преображенское ВАО	Преображенский	Сиратегян(Белозерцева) Вероника Карэновна	(495)603-18-63	(499)785-54-86	mirsud111@ums-mos.ru
94	Судебный участок №112	107392 ул. Просторная д.14, корп.1	Район Преображенское ВАО	Преображенский	Гюнашян Анжела Карапетовна	(499)785-57-13	(499)785-57-12	mirsud112@ums-mos.ru
95	Судебный участок №113	107392 ул. Просторная д.14, корп.1	Район Преображенское ВАО	Преображенский	Мариненко Ирина Ильинична	(495)603-18-61	(499)785-57-28	mirsud113@ums-mos.ru
96	Судебный участок №115	107392 ул. Просторная д.14, корп.1	Район Метрогородок ВАО	Преображенский	Львова Юлия Игоревна	(499)785-57-54	(499)785-57-42	mirsud115@ums-mos.ru
97	Судебный участок №116	107143 Открытое шоссе д.25, корп.16	Район Метрогородок ВАО	Преображенский	Калантыр Светлана Константиновна	(499)167-01-30	(499)167-65-44	mirsud116@ums-mos.ru
98	Судебный участок №117	107065 ул. Уральская д.23, корп.2	Район Гольяново ВАО	Преображенский	не назначен	(495)466-61-92	(495)770-92-65	mirsud117@ums-mos.ru
99	Судебный участок №118	107241 ул. Амурская,  д.62, стр.1	Район Гольяново ВАО	Преображенский	Боярникова Елена Владимировна	(495)462-71-67	(495)462-19-32	mirsud118@ums-mos.ru
100	Судебный участок №134	109156 ул. Генерала Кузнецова,д.15, кор.1	Район Выхино-Жулебино ЮВАО	Кузьминский	Зенкина Марина Николаевна	(495)706-53-65	(495)706-53-66	mirsud134@ums-mos.ru
101	Судебный участок №135	109156 ул. Генерала Кузнецова,д.15, кор.1	Район Выхино-Жулебино ЮВАО	Кузьминский	не назначен	(495)706-53-67	(495)706-53-69	mirsud135@ums-mos.ru
102	Судебный участок №136	109156 ул. Генерала Кузнецова,д.15, кор.1	Район Выхино-Жулебино ЮВАО	Кузьминский	Рафатова Елена Умятовна	(495)706-53-61	(495)706-53-62	mirsud136@ums-mos.ru
103	Судебный участок №137	111674 ул. 1-я Вольская, д.1	Район Некрасовка ЮВАО	Кузьминский	Вилкова  Юлия Викторовна	(495)706-98-43	(495)706-63-32	mirsud137@ums-mos.ru
104	Судебный участок №138	119027 ул. Изваринская, д.4	Район Внуково ЗАО	Солнцевский	Слисенко Василий Михайлович	(495)436-73-26	(495)736-05-66	mirsud138@ums-mos.ru
105	Судебный участок №139	119634 Боровское шоссе,д.48	Район Ново-Переделкино ЗАО	Солнцевский	Ежова Елена Александровна	(499)739-04-74	(495)733-25-68	mirsud139@ums-mos.ru
106	Судебный участок №140	119618 ул.  50-лет Октября д.6, корп.2	Район Ново-Переделкино ЗАО	Солнцевский	не назначен	(495)439-05-90	(495)439-06-21	mirsud140@ums-mos.ru
107	Судебный участок №141	119634 ул. Лукинская, д.7	Район Ново-Переделкино ЗАО	Солнцевский	не назначен	(495)731-15-19	(495)731-91-33	mirsud141@ums-mos.ru
108	Судебный участок №142	119618 ул.  50-лет Октября д.6, корп.2	Район  Ново-Переделкино ЗАО	Солнцевский	Бурканова Юлия Николаевна	(495)439-32-68	(495)439-12-51	mirsud142@ums-mos.ru
109	Судебный участок №143	119618 ул.  50-лет Октября д.6, корп.2	Район Солнцево ЗАО	Солнцевский	Верещагина Елена Ивановна	(495)439-12-72	(495)439-20-94	mirsud143@ums-mos.ru
110	Судебный участок №145	119618 ул.  50-лет Октября д.6, корп.2	Район Солнцево ЗАО	Солнцевский	Слизкова Татьяна Ивановна	(495)439-31-92	(495)439-31-56	mirsud145@ums-mos.ru
111	Судебный участок №146	123423 Карамышевская наб., д.20, корп.1	Район Строгино СЗАО	Хорошевский	Лобурев Артём Анатольевич	(499)728-30-17	(495)942-61-64	mirsud146@ums-mos.ru
112	Судебный участок №147	123423 Карамышевская наб., д.20, корп.1	Район Строгино СЗАО	Хорошевский	Денисова Светлана Михайловна	(495)942-62-97	(495)942-61-63	mirsud147@ums-mos.ru
113	Судебный участок №148	123592 Неманский пр-д, д.7, корп.2	Район Строгино СЗАО	Хорошевский	Наделяева Екатерина Игоревна	(495)942-82-06	(495)758-59-18	mirsud148@ums-mos.ru
114	Судебный участок №149	123592 Строгинский б-р, д.15	Район Строгино СЗАО	Хорошевский	Яблоков Евгений Анатольевич	(495)750-89-58	(495)942-90-15	mirsud149@ums-mos.ru
115	Судебный участок №151	123154 Бульвар Генерала Карбышева, д.18	Район Щукино СЗАО	Хорошевский	Студнева Галина Владимировна	(499)197-11-39	(499)197-16-82	mirsud151@ums-mos.ru
116	Судебный участок №152	123298 ул. Народного Ополчения, д.44, корп.2	Район Щукино СЗАО	Хорошевский	Ноздрина Елена Юрьевна	(495)944-92-11	(495)944-92-11	mirsud152@ums-mos.ru
117	Судебный участок №154	123154 Бульвар Генерала Карбышева, д.18	Район Хорошево-Мневники СЗАО	Хорошевский	Буценина Ольга Дмитриевна	(499)197-00-40	(499)199-37-91	mirsud154@ums-mos.ru
118	Судебный участок №155	123154 Бульвар Генерала Карбышева, д.18	Район Хорошево-Мневники СЗАО	Хорошевский	Щербакова Елена Владимировна	(499)197-11-36	(499)199-07-06	mirsud155@ums-mos.ru
119	Судебный участок №156	123154 Бульвар Генерала Карбышева, д.18	Район Хорошево-Мневники СЗАО	Хорошевский	Полеонов Владимир Аркадьевич	(499)197-19-92	(499)199-37-93	mirsud156@ums-mos.ru
120	Судебный участок №157	123154 Бульвар Генерала Карбышева, д.18	Район Хорошево-Мневники СЗАО	Хорошевский	Андреева (Кузнецова)  Юлия Сергеевна	(499)197-07-72	(499)197-05-73	mirsud157@ums-mos.ru
121	Судебный участок №158	127273 ул. Отрадная, д. 18Б	Район Бибирево СВАО	Бутырский	Семенова Александра Юрьевна	(499)904-92-45	(499)904-92-98	mirsud158@ums-mos.ru
122	Судебный участок №159	127273 ул. Отрадная, д. 18Б	Район Отрадное СВАО	Бутырский	Королева Екатерина Евгеньевна	(499)904-97-66	(499)904-94-06	mirsud159@ums-mos.ru
123	Судебный участок №160	125362 ул. Циолковского, д.4	Район Покровское- Стрешнево СЗАО	Тушинский	не назначен	(495)490-66-30	(495)490-69-28	mirsud160@ums-mos.ru
124	Судебный участок №161	125362 ул. Циолковского, д.4	Район Покровское- Стрешнево СЗАО	Тушинский	не назначен	(495)490-61-51	(495)490-57-59	mirsud161@ums-mos.ru
125	Судебный участок №162	125362 ул. Циолковского, д.4	Район Южное Тушино СЗАО	Тушинский	не назначен	(495)490-67-92	(495)490-66-60	mirsud162@ums-mos.ru
126	Судебный участок №163	125362 ул. Циолковского, д.4	Район Южное Тушино СЗАО	Тушинский	Вотинова Людмила Витальевна	(495)490-64-62	(495)490-69-29	mirsud163@ums-mos.ru
127	Судебный участок №268	115432 ул. 5-я Кожуховская,д.12	Южнопортовый район ЮВАО	Лефортовский	Стребкова Анастасия Сергеевна	(495)679-49-51	(495)679-48-94	mirsud268@ums-mos.ru
128	Судебный участок №119	107241 ул. Амурская,  д.62, стр.1	Район Гольяново ВАО	Преображенский	Улазовская Наталья Александровна	(495)652-71-63	(495)462-07-15	mirsud119@ums-mos.ru
129	Судебный участок №120	107065 ул. Уральская д.23, корп.2	Район Гольяново ВАО	Преображенский	не назначен	(495)770-92-67	(495)770-92-69	mirsud120@ums-mos.ru
130	Судебный участок №121	107143 ул. Н. Химушина д.15, корп.2	Район Гольяново ВАО	Преображенский	не назначен	(499)167-20-62	(499)167-50-16	mirsud121@ums-mos.ru
131	Судебный участок №122	109377 ул. Зеленодольская д.4	Рязанский район ЮВАО	Кузьминский	Горелова (Костина) Татьяна Николаевна	(499)722-63-73	(495)379-11-61	mirsud122@ums-mos.ru
132	Судебный участок №123	109377 ул. Зеленодольская д.4	Рязанский район ЮВАО	Кузьминский	Шевченко Николай Витальевич	(499)722-63-83	(499)784-91-21	mirsud123@ums-mos.ru
133	Судебный участок №124	109377 ул. Зеленодольская д.4	Рязанский район ЮВАО	Кузьминский	Зубова Анастасия Викторовна	(495)378-89-03	(499)722-63-79	mirsud124@ums-mos.ru
134	Судебный участок №125	109377 ул. Зеленодольская д.4	Район Кузьминки ЮВАО	Кузьминский	Махонина Ирина Викторовна	(495)378-46-60	(499)722-63-80	mirsud125@ums-mos.ru
135	Судебный участок №126	109377 ул. Зеленодольская д.4	Район Кузьминки ЮВАО	Кузьминский	Якубаев Руслан Геннадьевич	(495)378-19-05	(499)722-63-76	mirsud126@ums-mos.ru
136	Судебный участок №127	109377 ул. Зеленодольская д.4	Район Кузьминки ЮВАО	Кузьминский	не назначен	(499)722-63-84	(499)784-96-36	mirsud127@ums-mos.ru
137	Судебный участок №128	109377 ул. Зеленодольская д.4	Район Кузьминки ЮВАО	Кузьминский	Бекетова Светлана Юрьевна	(499)722-63-82	(495)379-91-47	mirsud128@ums-mos.ru
138	Судебный участок №129	117342 ул. Миклухо-Маклая д.40, корп.1	Район Коньково ЮЗАО	Черёмушкинский	Ивакина Наталья Ивановна	(495)420-99-79	(495)420-88-53	mirsud129@ums-mos.ru
139	Судебный участок №130	109542 Рязанский пр-т, д.93, корп.2	Район Выхино-Жулебино ЮВАО	Кузьминский	Казан Елена Вячеславовна	(495)709-77-84	(495)709-77-85	mirsud130@ums-mos.ru
140	Судебный участок №131	109472 Волгоградский  пр-т, д.170, корп.1	Район Выхино-Жулебино ЮВАО	Кузьминский	Егорова Юлия Валерьевна	(495)376-81-22	(495)376-53-21	mirsud131@ums-mos.ru
