№ строки	Название	Адрес	Телефон	Электронная почта	Режим работы
67	Государственное казенное учреждение инженерная служба района Люблино	г.Москва, пр-т 40 лет Октября, д.11	(495)981-39-27	l_guis.99@inbox.ru	пн.-пт. 08.00-20.00, без перерыва, сб. 08.00-16.00, вс.-выходной
68	Государственное казенное учреждение инженерная служба района Выхино	г.Москва, ул.Ташкентская, д.21, корп.1	(495) 377-82-92	gu_isvixino@mail.ru	пн.-пт. 09.00-20.00, без перерывов, сб. 09.00-17.00,  вс.-выходной
69	Государственное казенное учреждение инженерная служба района Жулебино	ул. Маршала Полубоярова, дом 14	(495)705-04-75	guis-julebino@mail.ru	вт.-пт. 08.00-20.00, без перерыва, сб. 09.00-15.45,  вс.-выходной
70	Государственное казенное учреждение инженерная служба района Капотня	г.Москва, Капотня, 2-й кв-л, д.4	kap_blag@mail.ru	(495)355-75-92	пн.-пт. 08.00-20.00, без перерыва, сб. 08.00-16.00,  вс.-выходной
71	Государственное казенное учреждение инженерная служба района Кузьминки	г.Москва, ул.Юных Ленинцев, д.47, корп.3	(495)379-86-36	kuz_guis@mail.ru	пн.-пт. 08.00-20.00, без перерыва, сб. 08.00-16.00, вс.-выходной
72	Государственное казенное учреждение инженерная служба района Текстильщики	улица 8-я Текстильщиков, дом 7-В	(499)178-18-78	gu_istektil@mail.ru	пн.-пт. 09.00-20.00, без перерыва, сб. 09.00-17.00,  вс.-выходной
73	Государственное казенное учреждение инженерная служба района Марьино	Новочеркасский бульвар, дом 57	(495)349-72-31	uc_marino@mail.ru	вт.-пт. 08.00-20.00, без перерыва, сб. 09.00-15.45,  вс,пн.-выходной
74	Государственное казенное учреждение инженерная служба района Южнопортовый	улица Шарикоподшипниковская, дом 24	(495)675-06-00	GUISW@yandex.ru	пн.-пт. 08.00-20.00, без перерывов, сб. 08.00-15.00, вс.-выходной
75	Государственное казенное учреждение инженерная служба района Хорошево-Мневники	проспект Маршала Жукова, дом 22, корпус 4	8(499)728-38-30	ackulova@szao.asueirc.ru	пн.-технический день, вт.-пт. 08.00-20.00, сб. 09.00-15.00, без перерыва, вс. - выходной
76	Государственное казенное учреждение инженерная служба района Щукино	ул.Маршала Соколовского, д.2	8(499)194-05-10	kpy_shukino@szao.asueirc.ru	пн.-технический день, вт.-пт. 08.00-20.00, сб. 09.00-15.00, без перерыва, вс. - выходной
77	Государственное казенное учреждение инженерная служба Даниловского района	г.Москва, 3-й Павловский пер. д.10	958 17 93	eirc254@rambler.ru	пн.-пт. 08.00-20.00, сб. 08.00-15.00, без перерыва, вс. - выходной
78	Государственное казенное учреждение инженерная служба района Бирюлёво Восточное	г.Москва, ул.Липецкая д.17 к.1	(495)328-94-44	b.vostochnoe@yandex.ru	пн.-пт. 09.00-20.00, сб. 09.00-15.00, без перерыва, вс. - выходной
79	Государственное казенное учреждение инженерная служба района Бирюлево Западное	г.Москва, ул.Медынская д.1 к.2	(495) 383-22-29	guis-bz@mail.ru	пн.-пт. 08.00-20.00, сб. 09.00-15.00, без перерыва, вс. - выходной
80	Государственное казенное учреждение инженерная служба района Нагатинский затон	г.Москва, ул.Судостроительная, д.49, корп.3	(499) 617-21-11	guic-nz@yandex.ru	пн.-пт. 08.00-20.00, сб. 09.00-15.00, без перерыва, вс. - выходной
81	Государственное казенное учреждение инженерная служба района Строгино	ул. Маршала Катукова, д.9, корп.3	8(495)757-51-46	gkuis.strogino@mail.ru	пн.-пт. 08.00-20.00, сб. 09.00-15.00, без перерыва, вс. - выходной
82	Государственное казенное учреждение инженерная служба района Северное Тушино	ул.Героев Панфиловцев, д.3, стр.1	8(495)496-33-89	guis.st@mail.ru	пн.-пт. 08.00-20.00 (перерыв 13.00-14.00) , сб. 09.00-15.00, без перерыва, вс. - выходной
83	Государственное казенное учреждение инженерная служба района Покровское-Стрешнево	ул. Малая Набережная, д. 15, стр. 2	8(495)490-61-88	guispokrovka@yandex.ru	пн.-технический день, вт.-пт. 08.00-20.00, сб. 09.00-15.00, без перерыва, вс. - выходной
84	Государственное казенное учреждение инженерная служба района Южное Тушино	ул. Свободы, д.42	(499) 492-11-12	guis.tushino@yandex.ru	пн.-технический день, вт.-пт. 08.00-20.00, сб. 09.00-15.00, без перерыва, вс. - выходной
85	Государственное казенное учреждение инженерная служба района Митино	г.Москва, Новотушинский пр., д.10, корп.1	(495) 759-54-35; (495) 753-41-89; (495) 753-41-89	shukalovich@zsao.asueirc.ru	пн.-технический день, вт.-пт. 08.00-20.00 (перерыв 13.00-14.00) , сб. 09.00-15.00, без перерыва, вс. - выходной
86	Государственное казенное учреждение инженерная служба района Куркино	г.Москва, Куркинское ш., д.38	8(495)744-88-11	noskova@szao.asueirc.ru	пн.-пт. 08.00-20.00 (перерыв 13.00-14.00) , сб. 09.00-15.00, без перерыва, вс. - выходной
87	Государственное казенное учреждение инженерная служба района Кунцево	121552, Москва, ул. Оршанская, д.11	8-495-416-68-20	guis_kuncevo@mail.ru	пн.-технический день, вт.-пт. 08.00-20.00, сб. 09.00-15.45, без перерыва, вс. - выходной
88	Государственное казенное учреждение инженерная служба Можайского района	121596 г.Москва ул.Барвихинская, д.8, кор. 2	8-495-448-01-44	guis-mozh@mail.ru	пн.-технический день, вт.-пт. 08.00-20.00, сб. 09.00-15.45, без перерыва, вс. - выходной
89	Государственное казенное учреждение инженерная служба района Крылатское	г.Москва, ул.Осенний бульвар, д.5, корп.4	8-495-413-26-44	v_alimin@mail.ru	пн.-технический день, вт.-пт. 08.00-20.00, сб. 09.00-15.45, без перерыва, вс. - выходной
90	Государственное казенное учреждение инженерная служба района Дорогомилово	121170 г.Москва ул. Студенческая, д. 25	8-499-240-45-21	is.dorogomilovo@mail.ru	пн.-технический день, вт.-пт. 08.00-20.00, сб. 09.00-15.45, без перерыва, вс. - выходной
91	Государственное казенное учреждение инженерная служба района Внуково	г.Москва, ул.Спортивная, д.3А	8-495-436-75-44	guisvnukovo07@rambler.ru	пн.-технический день, вт.-пт. 08.00-20.00, сб. 09.00-15.45, без перерыва, вс. - выходной
92	Государственное казенное учреждение инженерная служба района Ново-Переделкино	196033 г.Москва ул. Скульптура Мухиной д.2	8-495-731-09-30	guisnovo-peredelkino@yandex.ru	пн.-технический день, вт.-пт. 08.00-20.00, сб. 09.00-15.45, без перерыва, вс. - выходной
93	Государственное казенное учреждение инженерная служба района Очаково-Матвеевское	119631 г. Москва, ул.Веерная, д.12, кор. 1	8-495-441-35-22	guis_om@mail.ru	пн.-технический день, вт.-пт. 08.00-20.00, сб. 09.00-15.45, без перерыва, вс. - выходной
94	Государственное казенное учреждение инженерная служба района Тропарево-Никулино	119454, г. Москва, Проспект Вернадского, д.101, кор. 8	8-495-434-60-85	gu.is@mail.ru	пн.-технический день, вт.-пт. 08.00-20.00, сб. 09.00-15.45, без перерыва, вс. - выходной
95	Государственное казенное учреждение инженерная служба района Филевский парк	121309, г. Москва, ул. Большая Филевская, д.17	8-499-148-99-95	zkh-filpark@mail.ru	пн.-технический день, вт.-пт. 08.00-20.00, сб. 09.00-15.45, без перерыва, вс. - выходной
96	Государственное казенное учреждение инженерная служба района Солнцево	г.Москва, ул.Богданова, д.50	8-495-439-14-56	guis-sln@mail.ru	пн.-технический день, вт.-пт. 08.00-20.00, сб. 09.00-16.45, без перерыва, вс. - выходной
97	Государственное казенное учреждение инженерная служба района Проспект Вернадского	119454 г. Москва Проспект Вернадского д. 62а	8-499-431-19-20	guis_vernadskogo@mail.ru	пн.-технический день, вт.-пт. 08.00-20.00, сб. 09.00-15.45, без перерыва, вс. - выходной
98	Государственное казенное учреждение инженерная служба района Фили-Давыдково	121108, г.Москва ул.Олеко Дундича, д. 34	(499) 445-08-92;  (495) 735-20-51	guis-fd@yandex.ru	пн.-технический день, вт.-пт. 08.00-20.00, сб. 09.00-15.45, без перерыва, вс. - выходной
99	Государственное казенное учреждение инженерная служба района Зюзино	г.Москва, ул.Фруктовая, д.18	(499) 613-59-00, (499) 613-22-70	guis_abotdel@mail.ru	пн.-технический день, вт.-пт. 09.00-20.00, сб. 09.00-15.45, без перерыва, вс. - выходной
100	Государственное казенное учреждение инженерная служба района Раменки	119607, г.Москва, Мичуринский проспект, д. 25, кор. 5	8-499-739-16-57	svetguis2008@yandex.ru	пн.-технический день, вт.-пт. 08.00-20.00, сб. 09.00-15.45, без перерыва, вс. - выходной
101	Государственное казенное учреждение инженерная служба района Коньково	г.Москва, ул.Островитянова д.32	(495)429-75-59	konkovo1@mail.ru	пн.-технический день, вт.-пт. 08.00-20.00, сб. 09.00-15.00, без перерыва, вс. - выходной
102	Государственное казенное учреждение инженерная служба района Котловка	г.Москва, ул.Нагорная, д.31, корп.1	(499)123-54-83	Отсутствует	пн.-технический день, вт.-сб. 09.00-19.00, без перерыва, вс. - выходной
103	Государственное казенное учреждение инженерная служба Ломоносовского района	г.Москва, ул.Ак.Пилюгина, д.16, корп.1	(499) 132-04-44	guis_lomo@bk.ru	пн.-технический день, вт.-пт. 09.00-19.00, сб. 09.00-15.00, без перерыва, вс. - выходной
104	Государственное казенное учреждение инженерная служба Гагаринкого района	г.Москва, Ленинский просп., д.62/1	(499) 137-39-19	guisgagarinsky@yandex.ru	пн.-технический день, вт.-пт. 08.00-20.00, сб. 09.00-15.45, без перерыва, вс. - выходной
105	Государственное казенное учреждение инженерная служба Академического района	г.Москва, ул.Новочеремушкинская, д.23, корп.5	(499) 129-58-66;	eirc-akadem@mail.ru	пн.-технический день, вт.-пт. 08.00-20.00, сб. 09.00-15.45, без перерыва, вс. - выходной
106	Государственное казенное учреждение инженерная служба Обручевского района	г.Москва, ул.Новаторов д.4 к.8	7358267	obruch-eirc@mail.ru	пн.-технический день, вт.-пт. 09.00-19.00, сб. 09.00-15.00, без перерыва, вс. - выходной
107	Государственное казенное учреждение  инженерная служба района Северное Бутово	г.Москва, ул.Грина д.1 к.2	499 744 23 85	eircs288@yandex.ru	пн.-технический день, вт.-пт. 09.00-19.00, сб. 09.00-15.00, без перерыва, вс. - выходной
108	Государственное казенное учреждение инженерная служба района Теплый Стан	г.Москва, ул.Профсоюзная, д.128	499 338 50 30	eirc-ts@mail.ru	пн.-технический день, вт.-пт. 08.00-20.00, сб. 09.00-15.45, без перерыва, вс. - выходной
109	Государственное казенное учреждение инженерная служба района Черемушки	г.Москва, ул.Новочеремушкинская, д.61А	(499)128-48-32	cheremush@mail.ru	пн.-технический день, вт.-пт. 09.00-20.00, сб. 09.00-15.45, без перерыва, вс. - выходной
110	Государственное казенное учреждение инженерная служба района Южное Бутово	г.Москва, бул.Адмирала Ушакова, д.3	(495) 716-24-72	titaeva_ta@uzao.asueirc.ru	пн.-технический день, вт.-пт. 08.00-20.00, сб. 08.00-15.45, без перерыва, вс. - выходной
111	Государственное казенное учреждение инженерная служба района Ясенево	г.Москва, ул.Айвазовского, д.8, корп.2	(495) 427-95-22	gkuis-yasenevo@mail.ru	пн.-технический день, вт.-пт. 09.00-20.00, сб. 09.00-15.45, без перерыва, вс. - выходной
112	Государственное казенное учреждение инженерная служба района Орехово-Боринженерная службаово Южное	г.Москва, ул.Елецкая, д.11-2	499 782 75 40	eirc262@mail.ru	пн.-пт. 08.00-20.00, сб. 09.00-15.00, без перерыва, вс. - выходной
113	Государственное казенное учреждение инженерная служба района Царицыно	г.Москва, Кантемировская 53 - 1	(499)218-18-06	erc_caricino_263@mail.ru	пн.-пт. 08.00-20.00, сб. 09.00-15.00, без перерыва, вс. - выходной
114	Государственное казенное учреждение  инженерная служба района Чертаново Северное	г.Москва, ул.Чертановская д.9 к.4	(495) 315 50 63	gyis-c-z@mail.ru	пн.-чт. 08.00-17.00 (перерыв 12.00-12.45) , пт. 8.00-15.45 (перерыв 12.00-12.45) , сб., вс. - выходной
115	Государственное казенное учреждение инженерная служба района Чертаново Центральное	г.Москва, ул.Кировоградская 16 -4	(495) 316-73-66	irc_chc@mail.ru	пн.-пт. 08.00-20.00, сб. 09.00-15.00, без перерыва, вс. - выходной
116	Государственное казенное учреждение инженерная служба района Орехово-Боринженерная службаово Северное	г.Москва, ген. Белова 21 2	(495) 394-01-96	nach-ERC261@uao-msk.ru	пн.-пт. 08.00-20.00, сб. 09.00-15.00, без перерыва, вс. - выходной
117	Государственное казенное учреждение инженерная служба района Чертаново Южное	г.Москва, ул.Газопровод, д.11-2	(495) 389-40-36	zamnach266@mail.ru	пн.-пт. 09.00-20.00, сб. 09.00-15.00, без перерыва, вс. - выходной
118	Государственное казенное учреждение инженерная служба Нагорного района	г.Москва, Варшавское ш., д.77, корп.2	(499)317-89-77	eirc260@mail.ru	пн.-пт. 08.00-20.00, сб. 09.00-15.00, без перерыва, вс. - выходной
119	Государственное казенное учреждение инженерная служба района Зябликово	г.Москва, Ореховый пр., д.35, корп.2	(495) 394-58-72; (495) 394-96-81; (495) 394-93-54	ziablikovo@mail.ru	пн.-пт. 08.00-20.00, сб. 09.00-15.00, без перерыва, вс. - выходной
