№ строки	Название объекта	Адрес	Ведомственная принадлежность	Телефон	Сайт	Электронная почта	Округ	Район	Тип объекта
163	улица  Борисовские пруды, вдоль Москва-реки	улица Борисовские пруды, напротив дом 1 корпус 1	Префектура	8-499-323-6226	-	-	ЮАО	Нагатино-Садовники	лыжные трассы и базы (сезонные)
164	улица  Головачева, дом 27 (Квартал 24, 25, 29, круговой маршрут)	улица Головачева, дом 27	Департамент природопользования и охраны окружающей среды города Москвы	8 495-258-45-60	-	-	ЮВАО	Выхино-Жулебино	лыжные трассы и базы (сезонные)
165	улица  Заповедная, дом  3 (в пойме реки Чепмянки)	улица Заповедная, дом 3	Департамент жилищно-коммунального хозяйства и благоустройства города Москвы	(499)790-31-96	-	-	СВАО	Южное Медведково	лыжные трассы и базы (сезонные)
166	улица  Марьинский парк, дом 37-41	улица Марьинский парк, дом 37	Префектура	8 499-722-74-75	-	-	ЮВАО	Марьино	лыжные трассы и базы (сезонные)
167	улица  Мелиховская, дом  2 (пойма вдоль реки "Чермянка")	улица Мелиховская, дом 2 (пойма вдоль реки "Чермянка")	Департамент природопользования и охраны окружающей среды города Москвы	(495) 619-94-18	-	-	СВАО	Бибирево	лыжные трассы и базы (сезонные)
168	улица  Привольная 41 (Квартал 13, круговой маршрут)	улица Привольная 41	Департамент природопользования и охраны окружающей среды города Москвы	8 495-258-45-60	-	-	ЮВАО	Выхино-Жулебино	лыжные трассы и базы (сезонные)
169	улица  Ротерта, дом  5, Национальный парк "Лосиный остров"	улица Ротерта, дом 5, Национальный парк "Лосиный остров"	Федеральная	(499) 188-77-65	-	-	СВАО	Ярославский	лыжные трассы и базы (сезонные)
170	улица  Руставели, вл.7 (филиал Лианозовского парка)	улица Руставели, владение 7 (филиал Лианозовского парка)	Департамент Культуры города Москвы	(499) 908-85-00; (499) 908-35-00	-	-	СВАО	Бутырский	лыжные трассы и базы (сезонные)
171	улица  Северодвинская, дом  11	улица Северодвинская, дом 11	Департамент жилищно-коммунального хозяйства и благоустройства города Москвы	(495) 618-40-24 	-	-	СВАО	Леанозова	лыжные трассы и базы (сезонные)
172	улица  Сельскохозяйственная, дом  26	улица Сельскохозяйственная, дом 26	Префектура	(499) 181-41-12	-	-	СВАО	Ростокино	лыжные трассы и базы (сезонные)
173	улица  Сухонская, дом  19	улица Сухонская, дом 19	Департамент жилищно-коммунального хозяйства и благоустройства города Москвы	(495) 621-88-68	-	-	СВАО	Северное Медведково	лыжные трассы и базы (сезонные)
174	улица  Сухонская, дом  7	улица Сухонская, дом 7	Департамент жилищно-коммунального хозяйства и благоустройства города Москвы	(495) 621-88-68	-	-	СВАО	Северное Медведково	лыжные трассы и базы (сезонные)
175	улица  Южнобутовская,  дом  96 ФОК "Изумрудный"	ФОК "Изумрудный"	Префектура	8-499-724-52-12	-	-	ЮЗАО	Южное Бутово	лыжные трассы и базы (сезонные)
176	улица В.Лациса, дом 26, рядом с ФОК "Лазурный"	улица В.Лациса, дом 26, рядом с ФОК "Лазурный"	Департамент природопользования и охраны окружающей среды города Москвы	8-499-493-01-80	-	-	СЗАО	Северное Тушино	лыжные трассы и базы (сезонные)
177	улица Затонная, дом 22	улица Затонная, дом 22	Префектура	8-499-614-17-00	-	-	ЮАО	Нагатинский Затон	лыжные трассы и базы (сезонные)
178	Участок между улица  Череповецкой, Псковской, Зональной, Угличской	Участок между улица Череповецкой, Псковской, Зональной, Угличской	Департамент природопользования и охраны окружающей среды города Москвы	(495) 619-94-18	-	-	СВАО	Леанозова	лыжные трассы и базы (сезонные)
179	Хлебниковский лесопарк, ПК-1, 13 (кв. 117-119) Долгопрудненская аллея	Хлебниковский лесопарк, ПК-1, 13 (кв. 117-119) Долгопрудненская аллея	Департамент природопользования и охраны окружающей среды города Москвы	(495) 579-29-76	-	-	СВАО	Северный	лыжные трассы и базы (сезонные)
180	Хлебниковский лесопарк, Студеный проезд, дом  1, корп. 1, улица  Полярная, дом  56, корп. 2	Студеный проезд, дом 1, корпус 1, улица Полярная, дом 56, корпус 2	Департамент природопользования и охраны окружающей среды города Москвы	(495) 579-29-76	-	-	СВАО	Северное  Медведково	лыжные трассы и базы (сезонные)
181	Ходынское поле	Ходынский бульвар	Префектура	499-740-54-29	-	-	САО	Ходынское поле	лыжные трассы и базы (сезонные)
182	ЦВВС	Электролитный проезд, дом 7б	Федеральная	8-499-619-63-08	-	-	ЮАО	Нагорный	лыжные трассы и базы (сезонные)
183	ЦДОД «Черкизовский парк»	Б. Черкизов-ская улица, дом 23	Департамент образования города Москвы	8-499-780-25-39	-	-	ВАО	Преображенское	лыжные трассы и базы (сезонные)
184	Черное озеро, лесной массив,  6 микрорайон	Зона отдыха "Черное озеро"	Департамент природопользования и охраны окружающей среды города Москвы	8-499-735-55-57	-	-	ЗелАО	Савелки	лыжные трассы и базы (сезонные)
185	школьный стадион	улица Братьев Фонченко, дом 7	Префектура	8-499-148-83-00	-	-	ЗАО	Дорогомилово	лыжные трассы и базы (сезонные)
186	Этнографическая деревня Бибирево	Этнографическая деревня, вдоль улицы Белозерская	Департамент жилищно-коммунального хозяйства и благоустройства города Москвы	(495) 621-88-68	-	-	СВАО	Бибирево	лыжные трассы и базы (сезонные)
187	Южный парк	Территория между улица 9 Мая и улица Западная	Департамент природопользования и охраны окружающей среды города Москвы	8-499-780-97-05	-	-	ВАО	Восточный	лыжные трассы и базы (сезонные)
188	Юрловский проезд, дом  6, вл. 12-14	Юрловский проезд, дом 6, владение 12-14	Департамент жилищно-коммунального хозяйства и благоустройства города Москвы	(495) 618-40-24 	-	-	СВАО	Отрадное	лыжные трассы и базы (сезонные)
189	Парк «Дубки»	улица Дубки	Департамент жилищно-коммунального хозяйства и благоустройства города Москвы	8-985-411-46-45	-	-	САО	Тимирязевский	лыжные трассы и базы (сезонные)
