№ строки	Название	Адрес	Административный округ	Район	Юридический адрес	Телефон	Факс	Сайт	Адрес электронной почты
34	Екатерининский Сад	ул. Большая Екатерининская, 27	ЦАО	Мещанский		(495) 623-10-59	(495) 623-10-59	http://www.ek-park.ru/	ek-park@mail.ru
35	Парк Воробьёвы Горы	г.Москва, Воробьёвы горы	ЗАО	Раменки					
36	Главный Ботанический сад РАН	ул. Ботаническая, 4	СВАО	Останкинский		(499)977-91-45	8(499)977-91-72	http://www.gbsad.ru	A_Demidov@gbsad.ru
37	Парк Останкино	1-я Останкинская улица, 5	СВАО	Останкинский		(495) 683 46 45		www.museum.ru/museum/ostankino	
38	парк Московской сельскохозяйственной академии имени К.А. Тимирязева	Тимирязевская ул., 44	САО	Тимирязевский					
39	Государственное автономное учреждение культуры города Москвы «Центральный парк культуры и отдыха имени М.Горького»	119049, г.Москва, ул. Крымский вал, д.9	Центральный АО	Якиманка	119049, г.Москва, ул. Крымский вал, д.9	(495) 237-11-00, (499) 237-11-00, (499) 237-35-24	(495) 237-35-24	gorkypark.info	cpko-gorky@mail.ru
40	Государственное автономное учреждение культуры города Москвы «Московский городской сад «Эрмитаж»	127006, г.Москва, ул. Каретный ряд, д.3	Центральный АО	Тверской	127006, г.Москва, ул. Каретный ряд, д.3 стр.7	(495) 699-08-49, (495) 650-65-85	(495) 699-43-79	mosgorsad.ru	info@mosgorsad.ru
41	Государственное автономное учреждение культуры города Москвы «Парк культуры и отдыха «Красная Пресня»	123100, г.Москва, ул. Мантулинская, д.5	Центральный АО	Пресненский	123100, г.Москва, ул. Мантулинская, д.5 стр.2	(499) 256-33-42, (499) 256-23-06	(499) 256-23-06		pkiokp@gmail.com
42	Государственное автономное учреждение культуры города Москвы «Парк культуры и отдыха «Таганский»	109147, г.Москва, ул. Таганская, д.40/42	Центральный АО	Таганский	109147, г.Москва, ул. Таганская, д.40-42	(495) 912-27-17	(495) 912-27-17	parktaganskiy. ru	gpkiotag@mail.ru
43	Государственное автономное учреждение культуры города Москвы «Сад культуры и отдыха имени Н.Э.Баумана»	105064, г.Москва, ул. Старая Басманная, д.15	Центральный АО	Басманный	105064, г.Москва, ул. Старая Басманная, д.15	(495) 261-58-83, (495) 265-11-05	(495) 265-11-05	sadbaumana.ru	info@sbaumana.ru
44	Государственное автономное учреждение культуры города Москвы «Парк культуры и отдыха «Бабушкинский»	129327, г.Москва, ул. Менжинского, д.6	Северо-Восточный АО	Бабушкинский	129327, г.Москва, ул. Менжинского, д.6	(495) 184-34-22, (495) 184-09-18	(495) 184-34-22		babkapark@yandex.ru
45	Государственное автономное учреждение культуры города Москвы «Лианозовский парк культуры и отдыха»	127572, г.Москва, ул. Угличская, д.13	Северо-Восточный АО	Лианозово	127572, г.Москва, ул. Угличская, д.13	(499) 908-35-00	(499) 908-35-00	lia-park.ru	liapark@yandex.ru
46	Государственное автономное учреждение культуры города Москвы «Парк культуры и отдыха «Сокольники»	107113, г.Москва, Сокольнический вал, д.1 стр.1	Восточный АО	Сокольники	107113, г.Москва, Сокольнический вал, д.1 стр.1	(499) 268-54-30 , (499) 268-76-37	(499) 268-76-37	park-sokolniki.ru	info@park.sokolniki.com
47	Государственное автономное учреждение культуры города Москвы «Парк культуры и отдыха «Измайловский»	105187, г.Москва, Народный пр-т, д.17	Восточный АО	Измайлово	105187, г.Москва, Народный пр-т, д.17	(499) 166-61-19, (495) 657-97-32	(499) 657-97-32	izmailovsky-park.ru	izmpark@mail.ru
48	Парк «Центральный»	Боровское ш.	ЗАО						
49	Парк	60 лет Октября	ЗАО						
50	Пушкинский сквер	Пушкинский сквер	ЦАО						
51	Новопушкинский сквер	Новопушкинский сквер	ЦАО						
52	Сквер	Новый Арбат	ЦАО						
53	Сквер на Смоленской площади	Сквер на Смоленской площади	ЦАО						
54	Сквер на Калужской площади	Сквер на Калужской площади	ЦАО						
55	Сквер на Таганской площади	Сквер на Таганской площади	ЦАО						
56	Лермонтовский сквер	Лермонтовский сквер	ЦАО						
57	Сквер	Детская больница №13 им.Н.Филатова	ЦАО						
58	Сквер	Дуровский бульвар	ЦАО						
59	Садово-Триумфальный сквер	Садово-Триумфальный сквер	ЦАО						
60	Озелененная террритория Новинского бульвара	Озелененная террритория Новинского бульвара	ЦАО						
61	Сквер на Сухаревской площади	Сквер на Сухаревской площади	ЦАО						
62	Сквер	Зоологический бульвар	ЦАО						
63	Сквер	Новокузнецкая , д. 33	ЦАО						
64	Сквер	Серпуховская Б. ул., д.4-16 (скв. у пам. А. Наваи)	ЦАО						
65	Сквер	2-ой Спасоналивковский  пер. 16,/5	ЦАО						
66	Сквер	Спиридоньевский пер. 19	ЦАО						
67	Сквер	Воровского, д. 19	ЦАО						
68	Сквер	ул. Чайковского д. 22	ЦАО						
69	Сквер	Б. Могильцевский , пер. 7	ЦАО						
70	Сквер	Воронцово Поле, д. 15	ЦАО						
71	Сквер	Мясницкая ул, д. 22, стр. 3	ЦАО						
72	Сквер	Оружейный переулок вл.45	ЦАО						
73	Сквер	Огородная слобода пер.6	ЦАО						
74	Сквер	Поварская 33	ЦАО						
75	Сквер на площади Цезаря Куникова	ул. Покровка, 47	ЦАО						
76	Сквер	ул. Покровка,20	ЦАО						
77	Сквер	Пятницкая, д. 67	ЦАО						
78	Сквер	Хитровская площадь	ЦАО						
79	Сквер	Никитская 7-10	ЦАО						
80	Сквер	ул. Каланчевская д. 17	ЦАО						
81	Сквер	ул. Подвойского	ЦАО						
82	Сквер	Зубовская площадь	ЦАО						
83	Сквер	2-ой Щемиловский пер	ЦАО						
84	Сквер	ул. Покровка 5	ЦАО						
85	сквер	Б. Садовая ул., д.6-8	ЦАО						
86	Ботанический Сад МГУ	г.Москва, проспект Мира, д.26, стр.1	СВАО						
87	ГОУ ДООЦ «Новослободский»	ул. Новослободская, д.58/12, стр.9	ЦАО						
