№ строки	Тип транспорта	Наименование проездного документа	Стоимость	Срок действия
43	Метрополитен, Монорельс	Банковская карта. 29 поездок в течение календарного месяца	683.13	Период действия банковской карты с транспортным приложением
44	Метрополитен, Монорельс	Банковская карта. 30 поездок в течение календарного месяца	701.25	Период действия банковской карты с транспортным приложением
45	Метрополитен, Монорельс	Банковская карта. 31 поездка в течение календарного месяца	719.38	Период действия банковской карты с транспортным приложением
46	Метрополитен, Монорельс	Банковская карта. 32 поездки в течение календарного месяца	737.5	Период действия банковской карты с транспортным приложением
47	Метрополитен, Монорельс	Банковская карта. 33 поездки в течение календарного месяца	755.63	Период действия банковской карты с транспортным приложением
48	Метрополитен, Монорельс	Банковская карта. 34 поездки в течение календарного месяца	773.75	Период действия банковской карты с транспортным приложением
49	Метрополитен, Монорельс	Банковская карта. 35 поездок в течение календарного месяца	791.88	Период действия банковской карты с транспортным приложением
50	Метрополитен, Монорельс	Банковская карта. 36 поездок в течение календарного месяца	810.0	Период действия банковской карты с транспортным приложением
51	Метрополитен, Монорельс	Банковская карта. 37 поездок в течение календарного месяца	828.13	Период действия банковской карты с транспортным приложением
52	Метрополитен, Монорельс	Банковская карта. 38 поездок в течение календарного месяца	846.25	Период действия банковской карты с транспортным приложением
53	Метрополитен, Монорельс	Банковская карта. 39 поездок в течение календарного месяца	864.38	Период действия банковской карты с транспортным приложением
54	Метрополитен, Монорельс	Банковская карта. 40 поездок в течение календарного месяца	882.5	Период действия банковской карты с транспортным приложением
55	Метрополитен, Монорельс	Банковская карта. 41 поездка в течение календарного месяца	900.63	Период действия банковской карты с транспортным приложением
56	Метрополитен, Монорельс	Банковская карта. 42 поездки в течение календарного месяца	918.75	Период действия банковской карты с транспортным приложением
57	Метрополитен, Монорельс	Банковская карта. 43 поездки в течение календарного месяца	936.88	Период действия банковской карты с транспортным приложением
58	Метрополитен, Монорельс	Банковская карта. 44 поездки в течение календарного месяца	955.0	Период действия банковской карты с транспортным приложением
59	Метрополитен, Монорельс	Банковская карта. 45 поездок в течение календарного месяца	973.13	Период действия банковской карты с транспортным приложением
60	Метрополитен, Монорельс	Банковская карта. 46 поездок в течение календарного месяца	991.25	Период действия банковской карты с транспортным приложением
61	Метрополитен, Монорельс	Банковская карта. 47 поездок в течение календарного месяца	1009.38	Период действия банковской карты с транспортным приложением
62	Метрополитен, Монорельс	Банковская карта. 48 поездок в течение календарного месяца	1027.5	Период действия банковской карты с транспортным приложением
63	Метрополитен, Монорельс	Банковская карта. 49 поездок в течение календарного месяца	1045.63	Период действия банковской карты с транспортным приложением
64	Метрополитен, Монорельс	Банковская карта. 50 поездок в течение календарного месяца	1063.75	Период действия банковской карты с транспортным приложением
65	Метрополитен, Монорельс	Банковская карта. 51 поездка в течение календарного месяца	1081.88	Период действия банковской карты с транспортным приложением
66	Метрополитен, Монорельс	Банковская карта. 52 поездки в течение календарного месяца	1100.0	Период действия банковской карты с транспортным приложением
67	Метрополитен, Монорельс	Банковская карта. 53 поездки в течение календарного месяца	1118.13	Период действия банковской карты с транспортным приложением
68	Метрополитен, Монорельс	Банковская карта. 54 поездки в течение календарного месяца	1136.25	Период действия банковской карты с транспортным приложением
69	Метрополитен, Монорельс	Банковская карта. 55 поездок в течение календарного месяца	1154.38	Период действия банковской карты с транспортным приложением
70	Метрополитен, Монорельс	Банковская карта. 56 поездок в течение календарного месяца	1172.5	Период действия банковской карты с транспортным приложением
71	Метрополитен, Монорельс	Банковская карта. 57 поездок в течение календарного месяца	1190.63	Период действия банковской карты с транспортным приложением
72	Метрополитен, Монорельс	Банковская карта. 58 поездок в течение календарного месяца	1208.75	Период действия банковской карты с транспортным приложением
73	Метрополитен, Монорельс	Банковская карта. 59 поездок в течение календарного месяца	1226.88	Период действия банковской карты с транспортным приложением
74	Метрополитен, Монорельс	Банковская карта. 60 поездок в течение календарного месяца	1245.0	Период действия банковской карты с транспортным приложением
75	Метрополитен, Монорельс	Банковская карта. 61 поездка в течение календарного месяца	1243.5	Период действия банковской карты с транспортным приложением
76	Метрополитен, Монорельс	Банковская карта. 62 поездки в течение календарного месяца	1242.0	Период действия банковской карты с транспортным приложением
77	Метрополитен, Монорельс	Банковская карта. 63 поездки в течение календарного месяца	1240.5	Период действия банковской карты с транспортным приложением
78	Метрополитен, Монорельс	Банковская карта. 64 поездки в течение календарного месяца	1239.0	Период действия банковской карты с транспортным приложением
79	Метрополитен, Монорельс	Банковская карта. 65 поездок в течение календарного месяца	1237.5	Период действия банковской карты с транспортным приложением
80	Метрополитен, Монорельс	Банковская карта. 66 поездок в течение календарного месяца	1236.0	Период действия банковской карты с транспортным приложением
81	Метрополитен, Монорельс	Банковская карта. 67 поездок в течение календарного месяца	1234.5	Период действия банковской карты с транспортным приложением
82	Метрополитен, Монорельс	Банковская карта. 68 поездок в течение календарного месяца	1233.0	Период действия банковской карты с транспортным приложением
83	Метрополитен, Монорельс	Банковская карта. 69 поездок в течение календарного месяца	1231.5	Период действия банковской карты с транспортным приложением
84	Метрополитен, Монорельс	Банковская карта. 70 поездок в течение календарного месяца	1230.0	Период действия банковской карты с транспортным приложением
85	Мосгортранс	Билет. Не более 1 поездки	25.0	5 дней, включая день продажи
86	Мосгортранс	Билет. На провоз не более 1 места багажа	28.0	5 дней, включая день продажи
87	Мосгортранс	Билет. Не более 1 поездки и провоз не более 1 места багажа	50.0	5 дней, включая день продажи
88	Мосгортранс	Билет. Не более 1 поездки при реализации водителем в салоне подвижного состава	28.0	день продажи
89	Мосгортранс	Билет. Билет на 1 поездку в пригородном автобусе по  маршрутам N 400, 400к	42.0	день продажи
90	Мосгортранс	Билет. Не более 2 поездок	50.0	5 дней, включая день продажи
91	Мосгортранс	Билет. Не более 5 поездок	100.0	30 дней с момента первого прохода
92	Мосгортранс	Билет. Не более 10 поездок	195.0	30 дней с момента первого прохода
93	Мосгортранс	Билет. Не более 20 поездок	375.0	30 дней с момента первого прохода
94	Мосгортранс	Билет. Не более 60 поездок	750.0	30 дней с момента первого прохода
95	Метрополитен, Монорельс, Мосгортранс	Билет. Единый билет на трамвай, автобус, троллейбус, метро, монорельс, но не более 70 поездок на метрополитене	2380.0	календарный месяц
96	Мосгортранс	Билет. Билет на наземном городском пассажирском транспорте общего пользования без лимита поездок	900.0	календарный месяц
97	Мосгортранс	Билет. Билет на проезд в пригородном автобусе (за исключением маршрутов N 400, 400к)	1500.0	календарный месяц
98	Мосгортранс	Билет. Билет на проезд в пригородном автобусе по маршрутам N 400, 400к	1300.0	календарный месяц
99	Мосгортранс	Билет. Льготный билет на наземном городском пассажирском транспорте общего пользования без лимита поездок	230.0	календарный месяц
100	Мосгортранс	Билет. Льготный билет на наземном городском пассажирском транспорте общего пользования без лимита поездок	410.0	календарный месяц
101	Мосгортранс	Билет. Льготный билет на проезд в пригородном автобусе по маршрутам N 400, 400к	440.0	календарный месяц
102	Мосгортранс	Билет. Смарт-карта на 1 сутки	60.0	1 сутки с момента продажи
103	Мосгортранс	Билет. Смарт-карта на 5 дней	250.0	5 дней, включая день продажи
104	Мосгортранс	Билет. Смарт-карта на 30 дней	840.0	30 дней, включая день продажи
105	Мосгортранс	Билет. Смарт-карта на 90 дней	2150.0	90 дней, включая день продажи
106	Мосгортранс	Билет. Смарт-карта на 365 дней	7300.0	365 дней, включая день продажи
107	Метрополитен, Монорельс, Мосгортранс	Билет. Универсальные билеты: не более 1 поездки	28.0	5 дней, включая день продажи
108	Метрополитен, Монорельс, Мосгортранс	Билет. Универсальные билеты: не более 2 поездок	56.0	5 дней, включая день продажи
109	Метрополитен, Монорельс, Мосгортранс	Билет. Универсальные билеты: не более 5 поездок	135.0	45 дней, включая день продажи
110	Метрополитен, Монорельс, Мосгортранс	Билет. Универсальные билеты: не более 10 поездок	265.0	45 дней, включая день продажи
111	Метрополитен, Монорельс, Мосгортранс	Билет. Универсальные билеты: не более 20 поездок	520.0	45 дней, включая день продажи
112	Метрополитен, Монорельс, Мосгортранс	Билет. Универсальные билеты: не более 60 поездок	1245.0	45 дней, включая день продажи
113	Мосгортранс	Банковская карта. 1 поездка в течение календарного месяца	25.0	Период действия банковской карты с транспортным приложением
114	Мосгортранс	Банковская карта. 2 поездки в течение календарного месяца	50.0	Период действия банковской карты с транспортным приложением
115	Мосгортранс	Банковская карта. 3 поездки в течение календарного месяца	66.0	Период действия банковской карты с транспортным приложением
116	Мосгортранс	Банковская карта. 4 поездки в течение календарного месяца	82.0	Период действия банковской карты с транспортным приложением
117	Мосгортранс	Банковская карта. 5 поездок в течение календарного месяца	98.0	Период действия банковской карты с транспортным приложением
118	Мосгортранс	Банковская карта. 6 поездок в течение календарного месяца	117.4	Период действия банковской карты с транспортным приложением
119	Мосгортранс	Банковская карта. 7 поездок в течение календарного месяца	136.8	Период действия банковской карты с транспортным приложением
120	Мосгортранс	Банковская карта. 8 поездок в течение календарного месяца	156.2	Период действия банковской карты с транспортным приложением
121	Мосгортранс	Банковская карта. 9 поездок в течение календарного месяца	175.6	Период действия банковской карты с транспортным приложением
122	Мосгортранс	Банковская карта. 10 поездок в течение календарного месяца	195.0	Период действия банковской карты с транспортным приложением
123	Мосгортранс	Банковская карта. 11 поездок в течение календарного месяца	213.0	Период действия банковской карты с транспортным приложением
124	Мосгортранс	Банковская карта. 12 поездок в течение календарного месяца	231.0	Период действия банковской карты с транспортным приложением
125	Мосгортранс	Банковская карта. 13 поездок в течение календарного месяца	249.0	Период действия банковской карты с транспортным приложением
126	Мосгортранс	Банковская карта. 14 поездок в течение календарного месяца	267.0	Период действия банковской карты с транспортным приложением
127	Мосгортранс	Банковская карта. 15 поездок в течение календарного месяца	285.0	Период действия банковской карты с транспортным приложением
128	Мосгортранс	Банковская карта. 16 поездок в течение календарного месяца	303.0	Период действия банковской карты с транспортным приложением
129	Мосгортранс	Банковская карта. 17 поездок в течение календарного месяца	321.0	Период действия банковской карты с транспортным приложением
130	Мосгортранс	Банковская карта. 18 поездок в течение календарного месяца	339.0	Период действия банковской карты с транспортным приложением
131	Мосгортранс	Банковская карта. 19 поездок в течение календарного месяца	357.0	Период действия банковской карты с транспортным приложением
132	Мосгортранс	Банковская карта. 20 поездок в течение календарного месяца	375.0	Период действия банковской карты с транспортным приложением
133	Мосгортранс	Банковская карта. 21 поездка в течение календарного месяца	384.38	Период действия банковской карты с транспортным приложением
134	Мосгортранс	Банковская карта. 22 поездки в течение календарного месяца	393.75	Период действия банковской карты с транспортным приложением
135	Мосгортранс	Банковская карта. 23 поездки в течение календарного месяца	403.13	Период действия банковской карты с транспортным приложением
136	Мосгортранс	Банковская карта. 24 поездки в течение календарного месяца	412.5	Период действия банковской карты с транспортным приложением
137	Мосгортранс	Банковская карта. 25 поездок в течение календарного месяца	421.88	Период действия банковской карты с транспортным приложением
138	Мосгортранс	Банковская карта. 26 поездок в течение календарного месяца	431.25	Период действия банковской карты с транспортным приложением
139	Мосгортранс	Банковская карта. 27 поездок в течение календарного месяца	440.63	Период действия банковской карты с транспортным приложением
140	Мосгортранс	Банковская карта. 28 поездок в течение календарного месяца	450.0	Период действия банковской карты с транспортным приложением
141	Мосгортранс	Банковская карта. 29 поездок в течение календарного месяца	459.38	Период действия банковской карты с транспортным приложением
142	Мосгортранс	Банковская карта. 30 поездок в течение календарного месяца	468.75	Период действия банковской карты с транспортным приложением
143	Мосгортранс	Банковская карта. 31 поездка в течение календарного месяца	478.13	Период действия банковской карты с транспортным приложением
144	Мосгортранс	Банковская карта. 32 поездки в течение календарного месяца	487.5	Период действия банковской карты с транспортным приложением
145	Мосгортранс	Банковская карта. 33 поездки в течение календарного месяца	496.88	Период действия банковской карты с транспортным приложением
146	Мосгортранс	Банковская карта. 34 поездки в течение календарного месяца	506.25	Период действия банковской карты с транспортным приложением
147	Мосгортранс	Банковская карта. 35 поездок в течение календарного месяца	515.63	Период действия банковской карты с транспортным приложением
148	Мосгортранс	Банковская карта. 36 поездок в течение календарного месяца	525.0	Период действия банковской карты с транспортным приложением
149	Мосгортранс	Банковская карта. 37 поездок в течение календарного месяца	534.38	Период действия банковской карты с транспортным приложением
150	Мосгортранс	Банковская карта. 38 поездок в течение календарного месяца	543.75	Период действия банковской карты с транспортным приложением
151	Мосгортранс	Банковская карта. 39 поездок в течение календарного месяца	553.13	Период действия банковской карты с транспортным приложением
152	Мосгортранс	Банковская карта. 40 поездок в течение календарного месяца	562.5	Период действия банковской карты с транспортным приложением
153	Мосгортранс	Банковская карта. 41 поездка в течение календарного месяца	571.88	Период действия банковской карты с транспортным приложением
154	Мосгортранс	Банковская карта. 42 поездки в течение календарного месяца	581.25	Период действия банковской карты с транспортным приложением
155	Мосгортранс	Банковская карта. 43 поездки в течение календарного месяца	590.63	Период действия банковской карты с транспортным приложением
156	Мосгортранс	Банковская карта. 44 поездки в течение календарного месяца	600.0	Период действия банковской карты с транспортным приложением
157	Мосгортранс	Банковская карта. 45 поездок в течение календарного месяца	609.38	Период действия банковской карты с транспортным приложением
158	Мосгортранс	Банковская карта. 46 поездок в течение календарного месяца	618.75	Период действия банковской карты с транспортным приложением
159	Мосгортранс	Банковская карта. 47 поездок в течение календарного месяца	628.13	Период действия банковской карты с транспортным приложением
160	Мосгортранс	Банковская карта. 48 поездок в течение календарного месяца	637.5	Период действия банковской карты с транспортным приложением
161	Мосгортранс	Банковская карта. 49 поездок в течение календарного месяца	646.88	Период действия банковской карты с транспортным приложением
162	Мосгортранс	Банковская карта. 50 поездок в течение календарного месяца	656.25	Период действия банковской карты с транспортным приложением
163	Мосгортранс	Банковская карта. 51 поездка в течение календарного месяца	665.63	Период действия банковской карты с транспортным приложением
164	Мосгортранс	Банковская карта. 52 поездки в течение календарного месяца	675.0	Период действия банковской карты с транспортным приложением
165	Мосгортранс	Банковская карта. 53 поездки в течение календарного месяца	684.38	Период действия банковской карты с транспортным приложением
166	Мосгортранс	Банковская карта. 54 поездки в течение календарного месяца	693.75	Период действия банковской карты с транспортным приложением
167	Мосгортранс	Банковская карта. 55 поездок в течение календарного месяца	703.13	Период действия банковской карты с транспортным приложением
168	Мосгортранс	Банковская карта. 56 поездок в течение календарного месяца	712.5	Период действия банковской карты с транспортным приложением
169	Мосгортранс	Банковская карта. 57 поездок в течение календарного месяца	721.88	Период действия банковской карты с транспортным приложением
170	Мосгортранс	Банковская карта. 58 поездок в течение календарного месяца	731.25	Период действия банковской карты с транспортным приложением
171	Мосгортранс	Банковская карта. 59 поездок в течение календарного месяца	740.63	Период действия банковской карты с транспортным приложением
172	Мосгортранс	Банковская карта. 60 поездок в течение календарного месяца	750.0	Период действия банковской карты с транспортным приложением
173	Мосгортранс	Банковская карта. 61 поездка в течение календарного месяца	765.0	Период действия банковской карты с транспортным приложением
174	Мосгортранс	Банковская карта. 62 поездки в течение календарного месяца	780.0	Период действия банковской карты с транспортным приложением
175	Мосгортранс	Банковская карта. 63 поездки в течение календарного месяца	795.0	Период действия банковской карты с транспортным приложением
176	Мосгортранс	Банковская карта. 64 поездки в течение календарного месяца	810.0	Период действия банковской карты с транспортным приложением
177	Мосгортранс	Банковская карта. 65 поездок в течение календарного месяца	825.0	Период действия банковской карты с транспортным приложением
178	Мосгортранс	Банковская карта. 66 поездок в течение календарного месяца	840.0	Период действия банковской карты с транспортным приложением
179	Мосгортранс	Банковская карта. 67 поездок в течение календарного месяца	855.0	Период действия банковской карты с транспортным приложением
180	Мосгортранс	Банковская карта. 68 поездок в течение календарного месяца	870.0	Период действия банковской карты с транспортным приложением
181	Мосгортранс	Банковская карта. 69 поездок в течение календарного месяца	885.0	Период действия банковской карты с транспортным приложением
182	Мосгортранс	Банковская карта. 70 поездок в течение календарного месяца	900.0	Период действия банковской карты с транспортным приложением
183	Центральная пригородная пассажирская компания	Билет. Разовый билет	26.0	указанная дата, но не более, чем 10 дней от даты продажи
184	Центральная пригородная пассажирская компания	Билет. Разовый льготный	13.0	указанная дата, но не более, чем 10 дней от даты продажи
185	Центральная пригородная пассажирская компания	Билет. Разовый детский	7.0	указанная дата, но не более, чем 10 дней от даты продажи
186	Центральная пригородная пассажирская компания	Билет. Большая Москва" на месяц"	1040.0	1 месяц
187	Центральная пригородная пассажирская компания	Билет. 10 поездок	235.0	30 дней с даты оформления абонементного билета
188	Центральная пригородная пассажирская компания	Билет. 20 поездок	470.0	30 дней с даты оформления абонементного билета
189	Центральная пригородная пассажирская компания	Билет. 60 поездок	1400.0	60 дней с даты оформления абонементного билета
190	Центральная пригородная пассажирская компания	Билет. 90 поездок	2110.0	60 дней с даты оформления абонементного билета
191	Центральная пригородная пассажирская компания	Билет. Животные/велосипед	60.0	указанная дата, но не более, чем 10 дней от даты продажи
192	Центральная пригородная пассажирская компания	Билет. Ручная кладь	120.0	указанная дата, но не более, чем 10 дней от даты продажи
193	Центральная пригородная пассажирская компания	Билет. Абонемент выходного дня	250.0	1 месяц
194	Центральная пригородная пассажирская компания	Билет. Абонемент выходного дня детский	62.0	1 месяц
195	Центральная пригородная пассажирская компания	Билет. Абонемент ежедневный на 5 дней	245.0	1 месяц
196	Центральная пригородная пассажирская компания	Билет. Абонемент ежедневный на 10 дней	347.0	1 месяц
197	Центральная пригородная пассажирская компания	Билет. Абонемент ежедневный на 15 дней	520.0	1 месяц
198	Центральная пригородная пассажирская компания	Билет. Абонемент ежедневный на 20 дней	693.0	1 месяц
199	Центральная пригородная пассажирская компания	Билет. Абонемент ежедневный на 25 дней	867.0	1 месяц
200	Центральная пригородная пассажирская компания	Билет. Абонемент ежедневный на 1 месяц	1040.0	1 месяц
201	Центральная пригородная пассажирская компания	Билет. Абонемент ежедневный на 2 месяца	2080.0	2 месяца
202	Центральная пригородная пассажирская компания	Билет. Абонемент ежедневный на 3 месяца	3120.0	3 месяца
203	Центральная пригородная пассажирская компания	Билет. Абонемент ежедневный на 4 месяца	4160.0	4 месяца
204	Центральная пригородная пассажирская компания	Билет. Абонемент ежедневный на 5 месяцев	5200.0	5 месяцев
205	Центральная пригородная пассажирская компания	Билет. Абонемент ежедневный на 6 месяцев	6240.0	6 месяцев
206	Центральная пригородная пассажирская компания	Билет. Абонемент ежедневный на 12 месяцев	12480.0	12 месяцев
207	Центральная пригородная пассажирская компания	Билет. Абонемент рабочего дня на 10 дней	292.0	1 месяц
208	Центральная пригородная пассажирская компания	Билет. Абонемент рабочего дня на 15 дней	437.0	1 месяц
209	Центральная пригородная пассажирская компания	Билет. Абонемент рабочего дня на 20 дней	582.0	1 месяц
210	Центральная пригородная пассажирская компания	Билет. Абонемент рабочего дня на 25 дней	729.0	1 месяц
211	Центральная пригородная пассажирская компания	Билет. Абонемент рабочего дня на 1 месяц	874.0	1 месяц
212	Центральная пригородная пассажирская компания	Билет. Абонемент рабочего дня на 2 месяца	1748.0	2 месяца
213	Центральная пригородная пассажирская компания	Билет. Абонемент рабочего дня на 3 месяца	2622.0	3 месяца
214	Центральная пригородная пассажирская компания	Билет. Абонемент рабочего дня на 4 месяца	3496.0	4 месяца
215	Центральная пригородная пассажирская компания	Билет. Абонемент рабочего дня на 5 месяцев	4370.0	5 месяцев
216	Центральная пригородная пассажирская компания	Билет. Абонемент рабочего дня на 6 месяцев	5244.0	6 месяцев
217	Центральная пригородная пассажирская компания	Билет. Абонемент рабочего дня на 12 месяцев	10488.0	12 месяцев
218	Центральная пригородная пассажирская компания	Билет. "Большая Москва" свыше 53 км	3500.0	1 месяц
219	Московско-Тверская пригородная пассажирская компания	Билет. Разовый билет	26.0	указанная дата, но не более, чем 10 дней от даты продажи
220	Московско-Тверская пригородная пассажирская компания	Билет. Разовый льготный	13.0	указанная дата, но не более, чем 10 дней от даты продажи
221	Московско-Тверская пригородная пассажирская компания	Билет. Разовый детский	7.0	указанная дата, но не более, чем 10 дней от даты продажи
222	Московско-Тверская пригородная пассажирская компания	Билет. "Большая Москва" на месяц	1040.0	1 месяц
223	Московско-Тверская пригородная пассажирская компания	Билет. 10 поездок	260.0	30 дней с даты оформления абонементного билета
224	Московско-Тверская пригородная пассажирская компания	Билет. 20 поездок	520.0	30 дней с даты оформления абонементного билета
225	Московско-Тверская пригородная пассажирская компания	Билет. 60 поездок	1248.0	60 дней с даты оформления абонементного билета
226	Московско-Тверская пригородная пассажирская компания	Билет. 90 поездок	1872.0	60 дней с даты оформления абонементного билета
227	Московско-Тверская пригородная пассажирская компания	Билет. Животные/велосипед	40.0	указанная дата, но не более, чем 10 дней от даты продажи
228	Московско-Тверская пригородная пассажирская компания	Билет. Ручная кладь	80.0	указанная дата, но не более, чем 10 дней от даты продажи
229	Московско-Тверская пригородная пассажирская компания	Билет. Абонемент выходного дня	320.0	1 месяц
230	Московско-Тверская пригородная пассажирская компания	Билет. Абонемент выходного дня детский	80.0	1 месяц
231	Московско-Тверская пригородная пассажирская компания	Билет. Абонемент ежедневный на 5 дней	170.0	1 месяц
232	Московско-Тверская пригородная пассажирская компания	Билет. Абонемент ежедневный на 10 дней	320.0	1 месяц
233	Московско-Тверская пригородная пассажирская компания	Билет. Абонемент ежедневный на 15 дней	480.0	1 месяц
234	Московско-Тверская пригородная пассажирская компания	Билет. Абонемент ежедневный на 20 дней	600.0	1 месяц
235	Московско-Тверская пригородная пассажирская компания	Билет. Абонемент ежедневный на 25 дней	700.0	1 месяц
236	Московско-Тверская пригородная пассажирская компания	Билет. Абонемент ежедневный на 1 месяц	1040.0	1 месяц
237	Московско-Тверская пригородная пассажирская компания	Билет. Абонемент ежедневный на 2 месяца	2080.0	2 месяца
238	Московско-Тверская пригородная пассажирская компания	Билет. Абонемент ежедневный на 3 месяца	3120.0	3 месяца
239	Московско-Тверская пригородная пассажирская компания	Билет. Абонемент ежедневный на 4 месяца	4160.0	4 месяца
240	Московско-Тверская пригородная пассажирская компания	Билет. Абонемент ежедневный на 5 месяцев	5200.0	5 месяцев
241	Московско-Тверская пригородная пассажирская компания	Билет. Абонемент ежедневный на 6 месяцев	6240.0	6 месяцев
242	Московско-Тверская пригородная пассажирская компания	Билет. Абонемент ежедневный на 12 месяцев	12480.0	12 месяцев
243	Московско-Тверская пригородная пассажирская компания	Билет. Абонемент рабочего дня на 10 дней	250.0	1 месяц
244	Московско-Тверская пригородная пассажирская компания	Билет. Абонемент рабочего дня на 15 дней	350.0	1 месяц
245	Московско-Тверская пригородная пассажирская компания	Билет. Абонемент рабочего дня на 20 дней	450.0	1 месяц
246	Московско-Тверская пригородная пассажирская компания	Билет. Абонемент рабочего дня на 25 дней	600.0	1 месяц
247	Московско-Тверская пригородная пассажирская компания	Билет. Абонемент рабочего дня на 1 месяц	850.0	1 месяц
248	Московско-Тверская пригородная пассажирская компания	Билет. Абонемент рабочего дня на 2 месяца	1700.0	2 месяца
249	Московско-Тверская пригородная пассажирская компания	Билет. Абонемент рабочего дня на 3 месяца	2550.0	3 месяца
250	Московско-Тверская пригородная пассажирская компания	Билет. Абонемент рабочего дня на 4 месяца	3400.0	4 месяца
