№ строки	Название_объекта	Адрес	Административный_округ	Коечный_фонд	Уровень_стационара	Руководитель	Контактный_телефон	Факс
21	Государственное учреждение здравоохранения города Москвы Городская клиническая больница № 11 Департамента здравоохранения города Москвы	127018, Москва, ул. Двинцев, д.6	СВАО	320.0	Вспомогательный	Бойко Алексей Николаевич	(495) 689-5135	(495) 689-5135
22	Государственное  бюджетное учреждение здравоохранения города Москвы «Городская клиническая больница № 12    Департамента здравоохранения города Москвы»	115516, г. Москва,  ул. Бакинская, дом 26	ЮАО	1060.0	Базовый	Саликов Александр Викторович	(495) 322-1710	(495) 321-1306
23	Государственное  бюджетное учреждение здравоохранения города Москвы «Городская клиническая больница № 13 Департамента здравоохранения города Москвы»	115280, Москва, ул. Велозаводская. д.1/1	ЮВАО	750.0	Базовый	Аронов Леонид Семенович	(495) 674-5022	(495) 674-8076
24	Государственное  бюджетное учреждение здравоохранения города Москвы «Городская клиническая больница № 14    им. В. Г. Короленко Департамента здравоохранения города Москвы»	107076, Москва, ул. Короленко, д.3, корп.2	ВАО	1386.0	Базовый	Гайнулин Шамиль Мухтарович	(495) 964-3929	(495) 964-1121
25	Государственное  бюджетное учреждение здравоохранения города Москвы «Городская клиническая больница № 15   им. О. М. Филатова  Департамента здравоохранения города Москвы»	111539, Москва,  ул. Вешняковская. д.23	ВАО	1555.0	Базовый	Тюлькина Екатерина Евгеньевна	(495) 375-0447	(495) 770-0123
26	Государственное   бюджетное   учреждение здравоохранения города Москвы «Городская больница № 17   Департамента здравоохранения города Москвы»	119620, Москва, Волынская ул., д.7	ЗАО	450.0	Базовый	Попович Виктор Константинович	(495) 439-2577	(495) 439-1488
27	Государственное  бюджетное  учреждение здравоохранения города Москвы «Городская клиническая больница № 19   Департамента здравоохранения города Москвы»	123022, Москва,  Б. Предтеченский пер., д.15	ЦАО	310.0	Вспомогательный	Бутырина Светлана Федоровна	(495) 605-4810	(495) 655-1687
28	Государственное  бюджетное  учреждение здравоохранения города Москвы «Городская клиническая больница № 20   Департамента здравоохранения города Москвы»	129327, Москва, ул. Ленская, д.15	СВАО	1275.0	Базовый	Каприн Андрей Дмитриевич	(495) 471-1044	(495) 471-1253
29	Государственное бюджетное  учреждение здравоохранения города Москвы «Городская клиническая больница № 23   им. Медсантруд Департамента здравоохранения города Москвы»	109240, Москва, Яузская ул., д.11	ЦАО	660.0	Вспомогательный	Хрупкин Валерий Иванович	(495) 915-3648	(495) 915-3042
30	Государственное  бюджетное учреждение здравоохранения города Москвы «Городская клиническая больница № 24    Департамента здравоохранения города Москвы»	127015, Москва, ул. Писцовая, д.10	ЦАО	540.0	Вспомогательный	Родоман Григорий Владимирович	(495)  613-0408	(495) 613-0434
31	Государственное бюджетное  учреждение здравоохранения города Москвы «Городская клиническая больница № 29   им. Н. Э. Баумана Департамента здравоохранения города Москвы»	111020, Москва, Госпитальная площадь, д.2	ЮВАО	1005.0	Базовый	Дубровский Андрей Викторович	(499) 263-2630	(499) 263-2630
32	Государственное бюджетное  учреждение здравоохранения города Москвы «Городская клиническая больница № 31   Департамента здравоохранения города Москвы»	119415, Москва, ул. Лобачевского, дом  42	ЗАО	580.0	Базовый	Маслова Римма Александровна	(499) 936-9916	(499) 726-81-68
33	Государственное бюджетное  учреждение здравоохранения города Москвы «Городская клиническая больница № 36   Департамента здравоохранения города Москвы»	105318, Москва, ул. Фортунатовская,  д.1	ВАО	1455.0	Базовый	Митичкин Александр Евгеньевич	(499) 366-7719	(499) 369-4089
34	Государственное учреждение здравоохранения города Москвы Городская клиническая больница № 40   Департамента здравоохранения города Москвы	129301, Москва, ул. Касаткина, д.7	СВАО	715.0	Вспомогательный	Самохин Александр Яковлевич	(495) 686-8050	(495) 686-3128
35	Государственное  бюджетное учреждение здравоохранения города Москвы «Городская больница № 43  с поликлиническим отделением  Департамента здравоохранения города Москвы»	127204, Москва, 1-я Северная линия, д.27	СВАО	35.0	Вспомогательный	Семерчев Демьян Петрович	(499) 767-8711	(499) 767-8300
36	Государственное  бюджетное  учреждение здравоохранения города Москвы «Городская больница № 49   Департамента здравоохранения города Москвы»	109429, Москва, р-н Капотня, 2-ой квартал, д.16	ЮВАО	370.0	Вспомогательный	Леков Руслан Мурадович	(495) 355-1547	(495) 355-3638
37	Государственное бюджетное учреждение здравоохранения города Москвы «Городская клиническая больница № 50      Департамента здравоохранения города Москвы	125206, Москва,  ул. Вучетича, д.21	САО	1110.0	Базовый	Переходов Сергей Николаевич	(499) 760-7933	(499) 760-8199
38	Государственное  бюджетное учреждение здравоохранения города Москвы  «Городская клиническая больница № 51   Департамента здравоохранения города Москвы»	121309, Москва, ул. Алябьева, д.7/33	ЗАО	675.0	Вспомогательный	и.о. Кулешов Игорь Юрьевич	(499) 146-8124	(499) 146-8015
39	Государственное  бюджетное учреждение здравоохранения города Москвы  «Городская клиническая больница № 52   Департамента здравоохранения города Москвы»	123182, Москва,  ул. Пехотная, д.3	СЗАО	1345.0	Базовый	Лысенко Марьяна Анатольевна	(499) 196-3936	(499) 196-2114
40	Государственное  бюджетное учреждение здравоохранения города Москвы  «Городская клиническая больница № 53 Департамента здравоохранения города Москвы»	109432, Москва, ул Трофимова, д. 26	ЮВАО	575.0	Вспомогательный	Аракелов Сергей Эрнестович	(495) 958-9559	(495) 958-9434
41	Государственное  бюджетное учреждение здравоохранения города Москвы  «Городская  клиническая больница № 54   Департамента здравоохранения города Москвы»	107370, Москва,  Шитова набережная, д.72	ВАО	520.0	Вспомогательный	Нахаев Виктор Иванович	(499) 168-3328	(499) 168-3328
42	Государственное учреждение здравоохранения города Москвы  Городская  клиническая больница № 55   Департамента здравоохранения города Москвы	117152, Москва, Загородное шоссе, д.18-а	ЮАО	720.0	Вспомогательный	и.о. Бышов Андрей Алексеевич	(495) 952-9022	(495) 952-8722
43	Государственное  бюджетное учреждение здравоохранения города Москвы  «Городская  больница № 56  Департамента здравоохранения города Москвы»	113114, Москва, Павелецкая набережная. д.6	ЮАО	440.0	Вспомогательный	Ермоленко Галина Леонидовна	(495) 705-9167	(499) 235-9566
44	Государственное бюджетное  учреждение здравоохранения города Москвы «Городская клиническая больница № 71  Департамента здравоохранения города Москвы»	121374, Москва,  Можайское шоссе, д.14	ЗАО	743.0	Базовый	Мясников Александр Леонидович	(495) 440-2093	(495) 440-2101
45	Государственное бюджетное  учреждение здравоохранения города Москвы «Городская клиническая больница № 72  Департамента здравоохранения города Москвы»	121552, Москва, ул. Оршанская, д. 16	ЗАО	580.0	Вспомогательный	Заборский Владимир Марьянович	(499) 140-5554	(499) 140-5554
46	Государственное бюджетное  учреждение здравоохранения города Москвы «Городская клиническая больница № 79  Департамента здравоохранения города Москвы»	115487, Москва,   ул. Ак. Миллионщикова, д.1	ЮАО	518.0	Вспомогательный	Косаченко Алина  Жораевна	(499) 612-7507	(499) 612-0531
47	Государственное бюджетное учреждение здравоохранения города Москвы «Городская клиническая больница № 81  Департамента здравоохранения города Москвы»	127644, Москва,  ул. Лобненская, д.10	САО	973.0	Базовый	и.о. Андрейченко Александр Тимофеевич	(495) 483-4244	(495) 483-0247
48	Государственное учреждение здравоохранения города Москвы Госпиталь для ветеранов войн  № 1  Департамента здравоохранения города Москвы	109044, Москва, 2-я Дубровская ул., д.13	ЦАО	630.0	Вспомогательный	Киртадзе Демури Григорьевич	(495) 674-3580	(495) 674-8710
49	Государственное  бюджетное учреждение здравоохранения города Москвы «Госпиталь для ветеранов войн    № 2  Департамента  здравоохранения  города Москвы»	109472, Москва, Волгоградский проспект, д.168	ЮВАО	1172.0	Вспомогательный	Местергази Георгий Михайлович	(499) 940-4095	(499) 742-5139
50	Государственное  бюджетное учреждение здравоохранения города Москвы «Госпиталь для ветеранов войн   № 3  Департамента здравоохранения города Москвы»	129336, Москва, ул. Стартовая, д.4	СВАО	972.0	Вспомогательный	Румянцев Олег Николаевич	(499) 760-4997	(499) 760-4661
51	Государственное  бюджетное учреждение здравоохранения города Москвы «Челюстно-лицевой госпиталь для ветеранов войн   Департамента здравоохранения города Москвы»	115191, Москва,  ул. Лестева, д. 9	ЮАО	200.0	Вспомогательный	Хубутия Бидзина Нодариевич	954-0257	954-0257
52	Государственное  казенное   учреждение здравоохранения города Москвы «Инфекционная  клиническая больница № 1    Департамента  здравоохранения   города Москвы»	125367, Москва,  Волоколамское шоссе, д.63	СЗАО	806.0	Специализированный	Малышев Николай Александрович	(495) 490-1414	(495) 942-4839
53	Государственное   казенное  учреждение здравоохранения города Москвы «Инфекционная клиническая больница № 2  Департамента здравоохранения города Москвы»	105275, Москва, 8-я ул.Соколиной горы, д.15	ВАО	960.0	Специализированный	Мясников Вячеслав Анатольевич	(495) 365-3796	(495) 365-2488
54	Государственное   казенное   учреждение здравоохранения города Москвы «Инфекционная клиническая больница № 3   Департамента  здравоохранения   города Москвы»	109235, Москва,  1-я Курьяновская ул., д.34	ЮВАО	570.0	Специализированный	Куликова Олеся Евгеньевна	(495) 349-5053	(495) 357-3321
