№ строки	Название	Адрес	Телефон	Режим работы
22	Управление социальной защиты населения района Арбат, ЦАО	г. Москва, Трубниковский переулок, дом 21, строение 3	(495) 691-02-21; (495) 691-51-83	пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
23	Управление социальной защиты населения Басманного района, ЦАО	г. Москва, Гороховский пер., д. 5	(499) 267-63-00, (499) 261-25-09	пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
24	Управление социальной защиты населения Красносельского района, ЦАО	г. Москва, ул. Краснопрудная, д. 13	(499) 264-71-85	пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
25	Управление социальной защиты населения Мещанского района, ЦАО	г. Москва, Переяславский пер., д. 6	(499) 763-19-35, (499) 763-18-42	пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
26	Управление социальной защиты населения Пресненского района, ЦАО	г. Москва, Улица 1905 года, д. 5	(499) 256-24-11, (499) 256-67-40	пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
27	Управление социальной защиты населения района Замоскворечье, ЦАО	г. Москва, ул. Люсиновская, д. 43	(499) 764-53-23, (499) 764-51-84	пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
28	Управление социальной защиты населения района Хамовники, ЦАО	г. Москва, Комсомольский пр-т, д. 5/2	(499) 246-83-43, (499) 246-76-32	пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
29	Управление социальной защиты населения района Якиманка, ЦАО	г. Москва, ул. Малая Полянка, д. 4/6	(499) 238-11-57	пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
30	Управление социальной защиты населения Таганского района, ЦАО	г. Москва, ул.Воронцовская, д. 21	(495) 912-27-03, (495) 912-77-16	пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
31	Управление социальной защиты населения района Коптево, САО	г. Москва, ул. Космонавта Волкова, д. 27	(499) 156-06-90, (499) 156-05-80	пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
32	Управление социальной защиты населения района Левобережный, САО	г. Москва, ул. Беломорская, д.5, корп.3	(495) 458-80-49, (495) 457-51-02	пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
33	Управление социальной защиты населения района Сокол, САО	г. Москва Чапаевский переулок д.18/1	(499)-195-92-96, (499) 195-91-17	пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
34	Управление социальной защиты населения района Ховрино, САО	г. Москва , ул. Онежская, д. 53, корп. 4 а	(495) 453-31-91, (495) 454-01-26	пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
35	Управление социальной защиты населения Тимирязевского района, САО	г. Москва, Дмитровское ш., д. 5, корп. 1	(499) 976-71-56, (499) 976-79-33	пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
36	Управление социальной защиты населения Хорошевского района, САО	г. Москва, Хорошевское шоссе, д. 68, корп. 5	(499)-195-81-02, (499)-195-30-17	пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
37	Управление социальной защиты населения Савеловского района, САО	г. Москва, ул. Верхняя Масловка, д. 24	(495) 614-89-60, (495) 614-86-10	пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
38	Управление социальной защиты населения Северо-Восточного административного округа г. Москвы	г. Москва, ул. Коминтерна, д. 20/2	(499) 184-42-66, (499) 184-41-81	пн-чт 08.00-17.00, пт 08.00-15.45, перерыв 12.45-13.30
39	Управление социальной защиты населения Алексеевского района, СВАО	г. Москва, ул. Космонавтов, д. 4	(495) 686-05-81, (495) 683-67-12	пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
40	Управление социальной защиты населения Алтуфьевского района, СВАО	г. Москва, проезд Черского, д. 1	(499) 766-64-41	пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
41	Управление социальной защиты населения Бабушкинского района, СВАО	г. Москва, ул. Верхоянская, д.10	(495) 470-30-76, (495) 470-34-43	пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
42	Управление социальной защиты населения Бутырского района, СВАО	г. Москва, ул. Бутырская, д. 84	(499) 760-95-63, (499) 760-89-21	пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
43	Управление социальной защиты населения Лосиноостровского района (в том числе обслуживание района Свиблово), СВАО	г. Москва, ул. Рудневой, д. 6	(495) 471-08-33, (495) 471-18-81	пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
44	Управление социальной защиты населения района Бибирево, СВАО	г. Москва, ул. Плещеева, д. 7Б	(495) 405-65-49, (495) 405-65-49	пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
45	Управление социальной защиты населения района Лианозово, СВАО	г. Москва, Алтуфьевское ш., д. 87	(499) 200-60-08, (499) 200-60-08	пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
46	Управление социальной защиты населения района Марьина Роща, СВАО	г. Москва, шоссе Старомарьинское, д. 15	(495) 619-49-01, (495) 619-49-01	пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
47	Управление социальной защиты населения района Отрадное, СВАО	г. Москва, ул. Римского-Корсакова, д. 16	(499) 204-33-17, (499) 202-10-88	пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
48	Управление социальной защиты населения района Ростокино, СВАО	г. Москва, ул. Докукина, д. 11 стр.2	(495) 187-36-10, (495) 187-45-28	пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
49	Управление социальной защиты населения района Северное Медведково, СВАО	г. Москва, ул. Грекова, д. 7	(499) 476-25-24, (495) 478-40-91	пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
50	Управление социальной защиты населения района Южное Медведково, СВАО	г. Москва, пр-д Дежнева, д. 34	(495) 477-10-10, (499) 790-30-04	пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
51	Управление социальной защиты населения района Щукино, СЗАО	г. Москва, ул. Живописная, д. 48	(495) 193-65-01	пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
52	Управление социальной защиты населения района Южное Тушино, СЗАО	г. Москва, бульв. Яна Райниса, д. 17	(495) 948-96-88	пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
53	Управление социальной защиты населения района Куркино, СЗАО	г. Москва, Соловьиная роща, д. 10	(499) 401-90-07, (499) 401-90-87	пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
54	Управление социальной защиты населения Зеленоградского административного округа г. Москвы	г. Москва, Зеленоград, корп. 1821	(499) 717-01-19, (499) 717-08-81	пн-чт 08.00-17.00, пт 08.00-15.45, перерыв 12.45-13.30
55	Управление социальной защиты населения района Матушкино-Савелки, ЗелАО	г. Зеленоград, корп. 313	(495) 535-52-15, (499) 736-59-87	пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
56	Управление социальной защиты населения района Крюково, ЗелАО	г. Зеленоград, корп. 1818 а	(499) 733-02-93, (499) 733-58-01	пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
57	Управление социальной защиты населения Панфиловского района, ЗелАО	г. Москва, г. Зеленоград, корп. 830	(499) 729-81-51, (499) 729-81-61	пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
58	Управление социальной защиты населения Троицкого и Новомосковского административных округов г. Москвы	г. Москва, ул.Брусилова, д.17	(499) 234-07-80, (499) 234-07-75	пн-чт 08.00-17.00, пт 08.00-15.45, перерыв 12.45-13.30
59	Щербинское управление социальной защиты населения, ТиНАО	г. Москва, ул. Маршала Савицкого, д. 26, корп. 1	(499) 234-37-10, (499) 234-38-70	пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
60	Вороновское управление социальной защиты населения, ТиНАО	Московская обл. г. Подольск, ул. Маштакова д.12	(4967) 66-33-19, (4967) 66-33-13	пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
61	Московское Управление социальной защиты населения, ТиНАО	г. Москва, Московский, мкр.3, стр. 2А	(495) 276-23-61, (495) 276-23-65	пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
62	Троицкое Управление социальной защиты населения, ТиНАО	г. Москва, г. Троицк, Октябрьский проспект д.11	(4967) 51-00-25, (4967) 51-23-72	пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
63	Управление социальной защиты населения района Преображенское, ВАО	г. Москва, ул. Стромынка, д. 21 стр. 1	(499) 269-10-64, (499) 269-81-90	пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
64	Управление социальной защиты населения района Северное Измайлово, ВАО	г. Москва, ул. 3-я Парковая, д. 44 Б	(499) 164-77-24, (499) 164-84-79	пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
65	Управление социальной защиты населения района Соколиная гора, ВАО	г. Москва, Измайловское шоссе, д. 15	(495) 366-07-77, (495) 366-04-10	пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
66	Управление социальной защиты населения района Сокольники, ВАО	г. Москва, 2-й Полевой пер., д. 2	(499) 268-69-34, (499) 268-06-48	пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
67	Управление социальной защиты населения района Восточный, ВАО	г. Москва, ул. 9 Мая, д. 14 а	(499) 780-17-40, (499) 780-55-14	пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
68	Управление социальной защиты населения Юго-Восточного административного округа г. Москвы	г. Москва, ул. Люблинская, д. 159	345-74-01, 345-78-00	пн-чт 08.00-17.00, пт 08.00-15.45, перерыв 12.45-13.30
69	Управление социальной защиты населения Нижегородского района, ЮВАО	г. Москва, Рязанский пр-т, д. 31	657-19-48, 657-19-23, 657-19-47	пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
70	Управление социальной защиты населения района Выхино-Жулебино, ЮВАО	г. Москва, Рязанский пр-т, д. 64, корп. 2	(495) 919-33-61, (499) 784-67-76	пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
71	Управление социальной защиты населения района Кузьминки, ЮВАО	г. Москва, Волгоградский пр-т, д. 96, корп. 3	(499) 172-93-01, (499) 172-93-31	пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
72	Управление социальной защиты населения района Лефортово, ЮВАО	г. Москва, ул. Красноказарменная, д. 19	(495) 362-57-04, (495) 361-12-40	пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
73	Управление социальной защиты населения района Люблино, ЮВАО	г. Москва, пр-т 40 лет Октября, д. 20	(495) 351-66-77, (495) 351-48-24	пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
74	Управление социальной защиты населения района Марьино, ЮВАО	г. Москва, ул. Братиславская, д. 21, корп. 1	(495) 654-96-90, (495) 654-96-91	пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
75	Управление социальной защиты населения района Печатники, ЮВАО	г. Москва, ул. Гурьянова, д. 77	(495) 354-78-41, (499) 746-49-61	пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
76	Управление социальной защиты населения района Текстильщики, ЮВАО	г. Москва, 7-я ул. Текстильщиков, д. 2/20	(499) 176-57-01, (499) 176-88-06	пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
77	Управление социальной защиты населения Рязанского района, ЮВАО	г. Москва, Рязанский пр-т, д. 77/2	(495) 371-98-02, (495) 371-96-91	пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
78	Управление социальной защиты населения Южнопортового района, ЮВАО	г. Москвы, ул. Велозаводская, д. 11/1	(495) 600-84-63, (495) 600-84-62	пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
79	Управление социальной защиты населения Южного административного округа г. Москвы	г. Москва, 1-й Кожуховский пр-д., д.3	(495) 675-61-73, (495) 675-54-24, (495) 675-52-62	пн-чт 08.00-17.00, пт 08.00-15.45, перерыв 12.45-13.30
80	Управление социальной защиты населения Донского района, ЮАО	г. Москва, Загородное шоссе, дом 4, корп. 2	(495) 954-22-06, (495) 633-01-84	пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
81	Управление социальной защиты населения Даниловского района, ЮАО	г. Москва, 1-й Кожуховский пр-д., д.3	(495) 675-20-72, (495) 675-29-16	пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
82	Управление социальной защиты населения Нагорного района, ЮАО	г. Москва, Варшавское шоссе, дом 74, корп. 3	(499) 723-19-54, (499) 794-00-36	пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
83	Управление социальной защиты населения района Бирюлево Восточное, ЮАО	г. Москва, Михневский проезд, дом 6, корп. 1	(495) 328-85-84, (495) 328-85-84	пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
84	Управление социальной защиты населения района Бирюлево Западное, ЮАО	г. Москва, Харьковский проезд, дом 7, корп. 3	384-58-11, 385-16-66	пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
85	Управление социальной защиты населения района Братеево, ЮАО	г. Москва, ул. Ключевая, дом 22, корп. 1	(495) 342-90-52, (495) 342-71-72	пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
86	Управление социальной защиты населения района Москворечье-Сабурово, ЮАО	г. Москва, ул. Кантемировская, дом 29, корп. 1	(499) 320-53-00, (499) 320-53-22	пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
87	Управление социальной защиты населения района Нагатино-Садовники, ЮАО	г. Москва, проспект Андропова, дом 42, корп. 1	545-44-46, 8-499-504-13-05	пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
88	Управление социальной защиты населения района Нагатинский Затон, ЮАО	г. Москва, пр-т Андропова, дом 29, коп. 2	(499) 614-82-21, (499) 614-82-06	пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
89	Управление социальной защиты населения района Орехово-Борисово Северное, ЮАО	г. Москва, Ореховый бульвар, дом 7, корп. 1	(495) 343-08-70, (495) 343-16-94	пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
90	Управление социальной защиты населения района Орехово-Борисово Южное, ЮАО	г. Москва, ул. Воронежская, дом 3	(495) 397-50-83, (495) 399-47-11	пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
91	Управление социальной защиты населения района Царицыно, ЮАО	г. Москва, Кантемировская ул., дом 29, корп. 1	(499) 320-53-55, (499) 320-53-56	пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
92	Управление социальной защиты населения района Чертаново Северное, ЮАО	г. Москва, Варшавское ш., дом 124	(495) 311-52-16, 311-08-82	пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
93	Управление социальной защиты населения района Чертаново Центральное, ЮАО	г. Москва, ул. Красного Маяка, дом 4, корп. 5	(495) 315-86-67, (495) 315-86-66	пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
94	Управление социальной защиты населения района Чертаново Южное, ЮАО	г. Москва, Варшавское ш., дом 154, корп. 2	(495) 388-79-09, (495) 388-96-14	пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
95	Управление социальной защиты населения Юго-Западного административного округа г. Москвы	г. Москва, ул. Новочеремушкинская, д. 16	(495) 718-00-22, (499) 744-34-09	пн-чт 08.00-17.00, пт 08.00-15.45, перерыв 12.45-13.30
96	Управление социальной защиты населения Академического района, ЮЗАО	г. Москва, Нахимовский пр-т, д. 46	(499) 124-31-11, (499) 124-29-33	пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
97	Управление социальной защиты населения Гагаринского района, ЮЗАО	г. Москва, Ленинский пр-т, д. 60/2	(499) 137-53-03, (499) 137-34-78	пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
98	Управление социальной защиты населения Обручевского района, ЮЗАО	г. Москва, ул. Профсоюзная, д. 60	(499) 120-65-41, (499) 128-19-77	пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
99	Управление социальной защиты населения района Зюзино, ЮЗАО	г. Москва, Симферопольский б-р, д.16, корп.1	(495) 319-06-32, (499) 610-38-02	пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
100	Управление социальной защиты населения района Коньково, ЮЗАО	г. Москва, ул.Профсоюзная, д.111/1	(495) 420-30-33, (495) 420-28-11	пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
101	Управление социальной защиты населения района Котловка, ЮЗАО	г. Москва, ул. Ремизова, д. 5	(499) 176-61-41, (499) 176-62-41	пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
102	Управление социальной защиты населения Ломоносовского района, ЮЗАО	г. Москва, ул. Крупской, д. 19/17	(499) 131-03-13, (499) 138-88-35	пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
103	Управление социальной защиты населения района Северное Бутово, ЮЗАО	г. Москва, бульвар Дмитрия Донского, д. 12	(495) 712-13-72, (495) 712-13-63	пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
104	Управление социальной защиты населения района Теплый Стан, ЮЗАО	г. Москва, ул. Теплый Стан, д. 4	(495) 424-35-53, (495) 424-33-10	пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
105	Управление социальной защиты населения района Черемушки, ЮЗАО	г. Москва, ул. Новочеремушкинская, д. 57, корп. 2	(499) 120-54-00, (499) 724-53-99	пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
106	Управление социальной защиты населения района Южное Бутово, ЮЗАО	г. Москва, ул. Южнобутовская, д. 33	(495) 716-05-72, (495) 716-55-13	пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
107	Управление социальной защиты населения района Ясенево, ЮЗАО	г. Москва, ул. Голубинская, д. 31, корп. 1	(495) 423-89-20, (499) 724-42-83	пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
108	Управление социальной защиты населения Западного административного округа г. Москвы	г. Москва, ул.Удальцова, дом 4	(499) 133-86-42, (495) 431-17-11	пн-чт 08.00-17.00, пт 08.00-15.45, перерыв 12.45-13.30
109	Управление социальной защиты населения Можайского района, ЗАО	г. Москва, ул. Гришина, д. 8, стр. 3	(495) 446-02-05, (495) 440-70-32	пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
110	Управление социальной защиты населения района Внуково, ЗАО	г. Москва, ул. 2-я Рейсовая, д. 25 Б	(495) 736-28-91, (495) 436-30-78	пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
111	Управление социальной защиты населения района Дорогомилово, ЗАО	г. Москва, ул. Студенческая, д. 31	(499) 249-04-67, (499) 249-11-06	пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
112	Управление социальной защиты населения района Крылатское, ЗАО	г. Москва, шоссе Рублевское, д. 36 корп. 1	(495) 415-50-07, (495) 415-95-97	пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
113	Управление социальной защиты населения района Кунцево, ЗАО	г. Москва, ул. Екатерины Будановой, д. 8, корп. 2	(495) 417-91-75, (495) 417-24-64	пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
114	Управление социальной защиты населения района Ново-Переделкино, ЗАО	г. Москва, ул. Лукинская, д. 1	(495) 731-88-04, (495) 733-28-90	пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
115	Управление социальной защиты населения района Очаково-Матвеевское, ЗАО	г. Москва, ул. Б.Очаковская, д. 22	(495) 437-55-14, (495) 437-82-38	пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
116	Управление социальной защиты населения района Проспект Вернадского, ЗАО	г. Москва, ул. Удальцова, дом 4	(499) 133-77-45, (499) 131-77-95	пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
117	Управление социальной защиты населения района Раменки, ЗАО	г. Москва, ул. Раменки, д. 6, корп. 2	(495) 932-78-91, (495) 932-86-81	пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
118	Управление социальной защиты населения района Солнцево, ЗАО	г. Москва, ул. Богданова, д. 54	(495) 435-23-66, (495) 439-41-01	пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
119	Управление социальной защиты населения района Тропарево-Никулино, ЗАО	г. Москва, Ленинский пр-т, д. 156	(495) 433-64-00, (495) 434-05-94	пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
120	Управление социальной защиты населения района Фили-Давыдково, ЗАО	г. Москва, ул. Большая Филевская, д. 57, стр. 1	(499) 146-00-77, (499) 146-33-00	пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
121	Управление социальной защиты населения Северо-Западного административного округа г. Москвы	г. Москва, ул. Маршала Бирюзова, д. 10, корп. 1	(499) 195-95-09, (499) 943-27-93	пн-чт 08.00-17.00, пт 08.00-15.45, перерыв 12.45-13.30
