№ строки	Название	Наименование ансамбля	Категория
77	Жилой дом, 1927 г., арх. Н. Марковников	Жилой комплекс поселка "Сокол", 1923-1947 гг., архитекторы Морковников Н.В., Веснин В.А, Колли Н.Я. и  др. (114 объектов)	Объект культурного наследия регионального значения
78	Жилой дом, 1926 г., арх. Н. Марковников	Жилой комплекс поселка "Сокол", 1923-1947 гг., архитекторы Морковников Н.В., Веснин В.А, Колли Н.Я. и  др. (114 объектов)	Объект культурного наследия регионального значения
79	Жилой дом, 1927 г., арх. Н. Марковников	Жилой комплекс поселка "Сокол", 1923-1947 гг., архитекторы Морковников Н.В., Веснин В.А, Колли Н.Я. и  др. (114 объектов)	Объект культурного наследия регионального значения
80	Жилой дом, 1924 г., арх. Н. Марковников	Жилой комплекс поселка "Сокол", 1923-1947 гг., архитекторы Морковников Н.В., Веснин В.А, Колли Н.Я. и  др. (114 объектов)	Объект культурного наследия регионального значения
81	Жилой дом, 1926 г., арх. Н. Марковников	Жилой комплекс поселка "Сокол", 1923-1947 гг., архитекторы Морковников Н.В., Веснин В.А, Колли Н.Я. и  др. (114 объектов)	Объект культурного наследия регионального значения
82	Жилой дом, 1928 г., арх. Н. Марковников	Жилой комплекс поселка "Сокол", 1923-1947 гг., архитекторы Морковников Н.В., Веснин В.А, Колли Н.Я. и  др. (114 объектов)	Объект культурного наследия регионального значения
83	Жилой дом, 1925 г., арх. Н. Марковников	Жилой комплекс поселка "Сокол", 1923-1947 гг., архитекторы Морковников Н.В., Веснин В.А, Колли Н.Я. и  др. (114 объектов)	Объект культурного наследия регионального значения
84	Жилой дом, 1928 г., арх. И. Кондаков	Жилой комплекс поселка "Сокол", 1923-1947 гг., архитекторы Морковников Н.В., Веснин В.А, Колли Н.Я. и  др. (114 объектов)	Объект культурного наследия регионального значения
85	Жилой дом, 1928 г., арх. И. Кондаков	Жилой комплекс поселка "Сокол", 1923-1947 гг., архитекторы Морковников Н.В., Веснин В.А, Колли Н.Я. и  др. (114 объектов)	Объект культурного наследия регионального значения
86	Жилой дом, 1931 г., арх. Н. Марковников	Жилой комплекс поселка "Сокол", 1923-1947 гг., архитекторы Морковников Н.В., Веснин В.А, Колли Н.Я. и  др. (114 объектов)	Объект культурного наследия регионального значения
87	Жилой дом, 1931 г., арх. И. Кондаков	Жилой комплекс поселка "Сокол", 1923-1947 гг., архитекторы Морковников Н.В., Веснин В.А, Колли Н.Я. и  др. (114 объектов)	Объект культурного наследия регионального значения
88	Жилой дом, 1929 г., арх. Н. Марковников	Жилой комплекс поселка "Сокол", 1923-1947 гг., архитекторы Морковников Н.В., Веснин В.А, Колли Н.Я. и  др. (114 объектов)	Объект культурного наследия регионального значения
89	Жилой дом, 1928 г., арх. И. Кондаков	Жилой комплекс поселка "Сокол", 1923-1947 гг., архитекторы Морковников Н.В., Веснин В.А, Колли Н.Я. и  др. (114 объектов)	Объект культурного наследия регионального значения
90	Жилой дом, 1929 г., арх. И. Кондаков	Жилой комплекс поселка "Сокол", 1923-1947 гг., архитекторы Морковников Н.В., Веснин В.А, Колли Н.Я. и  др. (114 объектов)	Объект культурного наследия регионального значения
91	Жилой дом, 1928 г., арх. И. Кондаков	Жилой комплекс поселка "Сокол", 1923-1947 гг., архитекторы Морковников Н.В., Веснин В.А, Колли Н.Я. и  др. (114 объектов)	Объект культурного наследия регионального значения
92	Жилой дом, 1930 г., арх. И. Кондаков	Жилой комплекс поселка "Сокол", 1923-1947 гг., архитекторы Морковников Н.В., Веснин В.А, Колли Н.Я. и  др. (114 объектов)	Объект культурного наследия регионального значения
93	Жилой дом, 1931 г., арх. И. Кондаков	Жилой комплекс поселка "Сокол", 1923-1947 гг., архитекторы Морковников Н.В., Веснин В.А, Колли Н.Я. и  др. (114 объектов)	Объект культурного наследия регионального значения
94	Жилой дом, 1928 г., арх. И. Кондаков	Жилой комплекс поселка "Сокол", 1923-1947 гг., архитекторы Морковников Н.В., Веснин В.А, Колли Н.Я. и  др. (114 объектов)	Объект культурного наследия регионального значения
95	Жилой дом, 1930 г., арх. И. Кондаков	Жилой комплекс поселка "Сокол", 1923-1947 гг., архитекторы Морковников Н.В., Веснин В.А, Колли Н.Я. и  др. (114 объектов)	Объект культурного наследия регионального значения
96	Жилой дом, 1930 г.	Жилой комплекс поселка "Сокол", 1923-1947 гг., архитекторы Морковников Н.В., Веснин В.А, Колли Н.Я. и  др. (114 объектов)	Объект культурного наследия регионального значения
97	Жилой дом, 1930 г.	Жилой комплекс поселка "Сокол", 1923-1947 гг., архитекторы Морковников Н.В., Веснин В.А, Колли Н.Я. и  др. (114 объектов)	Объект культурного наследия регионального значения
98	Жилой дом, 1928 г., арх. Н. Марковников	Жилой комплекс поселка "Сокол", 1923-1947 гг., архитекторы Морковников Н.В., Веснин В.А, Колли Н.Я. и  др. (114 объектов)	Объект культурного наследия регионального значения
99	Жилой дом, 1928 г., арх. Н. Марковников	Жилой комплекс поселка "Сокол", 1923-1947 гг., архитекторы Морковников Н.В., Веснин В.А, Колли Н.Я. и  др. (114 объектов)	Объект культурного наследия регионального значения
100	Жилой дом, 1925 г., арх. Н. Марковников	Жилой комплекс поселка "Сокол", 1923-1947 гг., архитекторы Морковников Н.В., Веснин В.А, Колли Н.Я. и  др. (114 объектов)	Объект культурного наследия регионального значения
101	Жилой дом, 1925 г., арх. Н. Марковников	Жилой комплекс поселка "Сокол", 1923-1947 гг., архитекторы Морковников Н.В., Веснин В.А, Колли Н.Я. и  др. (114 объектов)	Объект культурного наследия регионального значения
102	Жилой дом, 1926 г., арх. Н. Марковников	Жилой комплекс поселка "Сокол", 1923-1947 гг., архитекторы Морковников Н.В., Веснин В.А, Колли Н.Я. и  др. (114 объектов)	Объект культурного наследия регионального значения
103	Жилой дом, 1926 г., арх. Н. Марковников	Жилой комплекс поселка "Сокол", 1923-1947 гг., архитекторы Морковников Н.В., Веснин В.А, Колли Н.Я. и  др. (114 объектов)	Объект культурного наследия регионального значения
104	Жилой дом, 1929 г., арх. Н. Марковников	Жилой комплекс поселка "Сокол", 1923-1947 гг., архитекторы Морковников Н.В., Веснин В.А, Колли Н.Я. и  др. (114 объектов)	Объект культурного наследия регионального значения
105	Жилой дом, 1928 г., арх. Н. Дюрнбаум	Жилой комплекс поселка "Сокол", 1923-1947 гг., архитекторы Морковников Н.В., Веснин В.А, Колли Н.Я. и  др. (114 объектов)	Объект культурного наследия регионального значения
106	Жилой дом, 1926 г., арх. Н. Марковников	Жилой комплекс поселка "Сокол", 1923-1947 гг., архитекторы Морковников Н.В., Веснин В.А, Колли Н.Я. и  др. (114 объектов)	Объект культурного наследия регионального значения
107	Жилой дом, 1933 г., арх. Н. Марковников	Жилой комплекс поселка "Сокол", 1923-1947 гг., архитекторы Морковников Н.В., Веснин В.А, Колли Н.Я. и  др. (114 объектов)	Объект культурного наследия регионального значения
108	Жилой дом, 1925 г., арх. Н. Марковников	Жилой комплекс поселка "Сокол", 1923-1947 гг., архитекторы Морковников Н.В., Веснин В.А, Колли Н.Я. и  др. (114 объектов)	Объект культурного наследия регионального значения
109	Жилой дом, 1924 г., арх. Братья Веснины	Жилой комплекс поселка "Сокол", 1923-1947 гг., архитекторы Морковников Н.В., Веснин В.А, Колли Н.Я. и  др. (114 объектов)	Объект культурного наследия регионального значения
110	Жилой дом, 1928 г., арх. Н. Марковников	Жилой комплекс поселка "Сокол", 1923-1947 гг., архитекторы Морковников Н.В., Веснин В.А, Колли Н.Я. и  др. (114 объектов)	Объект культурного наследия регионального значения
111	Жилой дом, 1925 г., арх. Н. Марковников	Жилой комплекс поселка "Сокол", 1923-1947 гг., архитекторы Морковников Н.В., Веснин В.А, Колли Н.Я. и  др. (114 объектов)	Объект культурного наследия регионального значения
112	Жилой дом, 1924 г., арх. Н. Марковников	Жилой комплекс поселка "Сокол", 1923-1947 гг., архитекторы Морковников Н.В., Веснин В.А, Колли Н.Я. и  др. (114 объектов)	Объект культурного наследия регионального значения
113	Жилой дом, 1925 г., арх. Н. Марковников	Жилой комплекс поселка "Сокол", 1923-1947 гг., архитекторы Морковников Н.В., Веснин В.А, Колли Н.Я. и  др. (114 объектов)	Объект культурного наследия регионального значения
114	Жилой дом, 1924 г., арх. Н. Марковников	Жилой комплекс поселка "Сокол", 1923-1947 гг., архитекторы Морковников Н.В., Веснин В.А, Колли Н.Я. и  др. (114 объектов)	Объект культурного наследия регионального значения
115	Жилой дом, 1924 г., арх. Н. Марковников	Жилой комплекс поселка "Сокол", 1923-1947 гг., архитекторы Морковников Н.В., Веснин В.А, Колли Н.Я. и  др. (114 объектов)	Объект культурного наследия регионального значения
116	Жилой дом, 1935 г.	Жилой комплекс поселка "Сокол", 1923-1947 гг., архитекторы Морковников Н.В., Веснин В.А, Колли Н.Я. и  др. (114 объектов)	Объект культурного наследия регионального значения
117	Жилой дом, арх. М. Марковников	Жилой комплекс поселка "Сокол", 1923-1947 гг., архитекторы Морковников Н.В., Веснин В.А, Колли Н.Я. и  др. (114 объектов)	Объект культурного наследия регионального значения
118	Жилой дом, 1925 г., арх. Н. Марковников	Жилой комплекс поселка "Сокол", 1923-1947 гг., архитекторы Морковников Н.В., Веснин В.А, Колли Н.Я. и  др. (114 объектов)	Объект культурного наследия регионального значения
119	Жилой дом, 1925 г., арх. Н. Марковников	Жилой комплекс поселка "Сокол", 1923-1947 гг., архитекторы Морковников Н.В., Веснин В.А, Колли Н.Я. и  др. (114 объектов)	Объект культурного наследия регионального значения
120	Жилой дом, 1925 г., арх. Н. Марковников	Жилой комплекс поселка "Сокол", 1923-1947 гг., архитекторы Морковников Н.В., Веснин В.А, Колли Н.Я. и  др. (114 объектов)	Объект культурного наследия регионального значения
121	Жилой дом, 1925 г., арх. Н. Марковников	Жилой комплекс поселка "Сокол", 1923-1947 гг., архитекторы Морковников Н.В., Веснин В.А, Колли Н.Я. и  др. (114 объектов)	Объект культурного наследия регионального значения
122	Жилой дом, 1925 г., арх. Н. Марковников	Жилой комплекс поселка "Сокол", 1923-1947 гг., архитекторы Морковников Н.В., Веснин В.А, Колли Н.Я. и  др. (114 объектов)	Объект культурного наследия регионального значения
123	Жилой дом, 1925 г., арх. Н. Марковников	Жилой комплекс поселка "Сокол", 1923-1947 гг., архитекторы Морковников Н.В., Веснин В.А, Колли Н.Я. и  др. (114 объектов)	Объект культурного наследия регионального значения
124	Жилой дом, 1924 г., арх. Н. Марковников	Жилой комплекс поселка "Сокол", 1923-1947 гг., архитекторы Морковников Н.В., Веснин В.А, Колли Н.Я. и  др. (114 объектов)	Объект культурного наследия регионального значения
125	Жилой дом, 1924 г., арх. Н. Марковников	Жилой комплекс поселка "Сокол", 1923-1947 гг., архитекторы Морковников Н.В., Веснин В.А, Колли Н.Я. и  др. (114 объектов)	Объект культурного наследия регионального значения
126	Жилой дом, 1924 г., арх. Н. Марковников	Жилой комплекс поселка "Сокол", 1923-1947 гг., архитекторы Морковников Н.В., Веснин В.А, Колли Н.Я. и  др. (114 объектов)	Объект культурного наследия регионального значения
127	Жилой дом, 1927 г., арх. Н. Марковников	Жилой комплекс поселка "Сокол", 1923-1947 гг., архитекторы Морковников Н.В., Веснин В.А, Колли Н.Я. и  др. (114 объектов)	Объект культурного наследия регионального значения
128	Жилой дом, 1925 г., арх. Н. Марковников	Жилой комплекс поселка "Сокол", 1923-1947 гг., архитекторы Морковников Н.В., Веснин В.А, Колли Н.Я. и  др. (114 объектов)	Объект культурного наследия регионального значения
129	Жилой дом, 1928 г., арх. Н. Марковников	Жилой комплекс поселка "Сокол", 1923-1947 гг., архитекторы Морковников Н.В., Веснин В.А, Колли Н.Я. и  др. (114 объектов)	Объект культурного наследия регионального значения
130	Жилой дом, 1927 г., арх. Н. Марковников	Жилой комплекс поселка "Сокол", 1923-1947 гг., архитекторы Морковников Н.В., Веснин В.А, Колли Н.Я. и  др. (114 объектов)	Объект культурного наследия регионального значения
131	Жилой дом, 1927 г., арх. Н. Марковников	Жилой комплекс поселка "Сокол", 1923-1947 гг., архитекторы Морковников Н.В., Веснин В.А, Колли Н.Я. и  др. (114 объектов)	Объект культурного наследия регионального значения
132	Жилой дом, 1927 г., арх. Н. Марковников	Жилой комплекс поселка "Сокол", 1923-1947 гг., архитекторы Морковников Н.В., Веснин В.А, Колли Н.Я. и  др. (114 объектов)	Объект культурного наследия регионального значения
133	Жилой дом, 1927 г., арх. Н. Марковников	Жилой комплекс поселка "Сокол", 1923-1947 гг., архитекторы Морковников Н.В., Веснин В.А, Колли Н.Я. и  др. (114 объектов)	Объект культурного наследия регионального значения
134	Жилой дом, 1927 г., арх. Н. Марковников	Жилой комплекс поселка "Сокол", 1923-1947 гг., архитекторы Морковников Н.В., Веснин В.А, Колли Н.Я. и  др. (114 объектов)	Объект культурного наследия регионального значения
135	Жилой дом, 1931 г., арх. Н. Кондаков	Жилой комплекс поселка "Сокол", 1923-1947 гг., архитекторы Морковников Н.В., Веснин В.А, Колли Н.Я. и  др. (114 объектов)	Объект культурного наследия регионального значения
136	Жилой дом, 1927 г., арх. Н. Марковников	Жилой комплекс поселка "Сокол", 1923-1947 гг., архитекторы Морковников Н.В., Веснин В.А, Колли Н.Я. и  др. (114 объектов)	Объект культурного наследия регионального значения
137	Жилой дом, 1927 г., арх. Н. Марковников	Жилой комплекс поселка "Сокол", 1923-1947 гг., архитекторы Морковников Н.В., Веснин В.А, Колли Н.Я. и  др. (114 объектов)	Объект культурного наследия регионального значения
138	Жилой дом, 1929 г., арх. Н. Марковников	Жилой комплекс поселка "Сокол", 1923-1947 гг., архитекторы Морковников Н.В., Веснин В.А, Колли Н.Я. и  др. (114 объектов)	Объект культурного наследия регионального значения
139	Жилой дом, 1925 г., арх. Н. Марковников	Жилой комплекс поселка "Сокол", 1923-1947 гг., архитекторы Морковников Н.В., Веснин В.А, Колли Н.Я. и  др. (114 объектов)	Объект культурного наследия регионального значения
