№ строки	Название	Адрес	Приспособленность для инвалидов по зрению	Приспособленность для инвалидов опорно-двигательного аппарата
90	ГБУ ТЦСО № 25 филиал  «Обручевский»	119421, г. Москва, ул. Обручева, д.  4, корп. 1	приспособлен	приспособлен
91	ТЦСО № 8	Ул. Ярославская, д. 5	Частично приспособлен	Частично приспособлен
92	ТЦСО № 8	Ул. Маломосковская, д. 21, корп. 3	Частично приспособлен	Частично приспособлен
93	ТЦСО № 8	Ул. П. Корчагина, д. 14	Частично приспособлен	Частично приспособлен
94	ТЦСО №8 Филиал «Останкинский»	ул. 2-я Новоостанкинская, д. 4	Частично приспособлен	Частично приспособлен
95	ТЦСО №8 Филиал «Марьина роща»	ул. Советской Армии, д. 15	Частично приспособлен	Частично приспособлен
96	ТЦСО №8 Филиал «Марфино»	ул. Ботаническая, 29/2	Частично приспособлен	Частично приспособлен
97	ТЦСО №8 Филиал «Марфино»	Ул. Ботаническая, 27	Частично приспособлен	Частично приспособлен
98	ТЦСО №8 Филиал «Бутырский»	Огородный проезд, д. 21	Частично приспособлен	Частично приспособлен
99	ГБУ ТЦСО № 9 филиал «Отрадное»	Москва, ул.Римского-Корсакова , дом 6	Приспособлено	Частично приспособлено
100	ГБУ ТЦСО № 9 филиал «Отрадное»	Москва, ул.Декабристов , дом 1	В помещении проходит ремонт	В помещении проходит ремонт
101	ТЦСО №9 (Бабушкинский)	Москва, ул. Енисейская, 31 корп.1,	Частично приспособлен	Частично приспособлен
102	ТЦСО №9 (Бабушкинский)	Москва, ул. Коминтерна д.9 корп.1	не приспособлен	приспособлен
103	ТЦСО №9 (Бабушкинский)	Москва, Ул. Рудневой д.9 корп.1	В помещении проходит ремонт	В помещении проходит ремонт
104	ГБУ ТЦСО № 9 филиал «Северное Медведково»	Москва, Студеный пр. д.4 корп.2	Частично приспособлено	Приспособлено
105	ГБУ ТЦСО № 9 филиал «Северное Медведково»	Москва, Студеный пр. д.6 корп.3	Приспособлено	Приспособлено
106	ГБУ ТЦСО № 9 филиал «Северное Медведково»	Москва, Ул.Полярная. д.54 корп.1	Приспособлено	Приспособлено
107	ГБУ ТЦСО  № 9 филиал «Южное Медведково»	Ул.Молодцова, д.21	Не приспособлен	Не приспособлен
108	ГБУ ТЦСО  № 9 филиал «Южное Медведково»	Ул.Полярная , д.15 к.3	Не приспособлен, Новое помещение	Не приспособлен, Новое помещение
109	УСЗН района Замоскворечье города Москвы ЦАО	115093,Москва, ул.Люсиновская, д.43	Приспособлено	Приспособлено
110	Управление социальной защиты населения района Нагатино-Садовники г.Москвы ЮАО	Москва, Андропова просп., д.42, к.1	не приспособлен	приспособлен
111	Управление социальной защиты населения района Орехово-Борисово Северное города Москвы ЮАО	115551, Москва, Ореховый бульвар, д. 7, корп. 1	Приспособлено полностью	Приспособлено полностью
112	УСЗН Головинского района г.Москвы САО	Москва, ул. Онежская, д.9/4, корп. А	Не приспособлен (будет приспособлен полностью в апреле 2013 года после завершения капитального ремонта помещений управления)	Приспособлен полностью
113	Управление социальной защиты населения района Хамовники города Москвы ЦАО	город  Москва, Комсомольский проспект,  дом 5/2	приспособлен	приспособлен
114	Управление социальной защиты населения района Щукино города Москвы Северо-Западный административный округ	123098, Москва, улица Живописная, дом 48	Приспособлено	Приспособлено
115	Управление социальной защиты населения  ЗАО г.Москвы	Москва, ул.Лукинская, д.1	не приспособлено	не приспособлено
116	УСЗН района Братеево города Москвы ЮАО	Москва, ул. Ключевая, д.22, корп.1	частично	полностью
117	Управление социальной защиты населения района Проспект Вернадского города Москвы Западный административный округ	Москва, ул. Удальцова, д.4	приспособлено	приспособлено
118	Управление социальной защиты населения района Дорогомилово города Москвы	Москва, ул.Студенческая, д.31	приспособлен	приспособлен
119	Управление социальной защиты населения района Марьина Роща	Москва, Старомарьинское шоссе, д.15	Частично приспособлен	Приспособлен
120	Управление социальной защиты населения Рязанского района города Москвы Юго-Восточный административный округ	Москва, Рязанский проспект, д.77/2	Не приспособлен	Частично приспособлен
121	Управление социальной защиты населения района Сокол города Москвы Северный административный округ	Москва, Чапаевский пер., д. 18/1	Приспособлен	Приспособлен
122	Управление социальной защиты населения района Кунцево города Москвы	Москва, ул. Екатерины Будановой, д. 8, к. 2	приспособлен	приспособлен
123	Управление социальной защиты населения района Лианозово города Москвы СВАО	Москва, Алтуфьевское шоссе, д. 87	приспособлено	приспособлено
124	Управление социальной защиты населения Нижегородского района	Москва, Рязанский проспект дом 31	приспособлен	приспособлен
125	Управление социальной защиты населения района Соколиная гора города Москвы Восточный административный округ	Москва, Измайловское шоссе, д.15	Частично приспособлен	Частично приспособлен
126	Управление социальной защиты населения района Тропарево-Никулино города Москвы Западный административный округ	Москва, Ленинский проспект, дом 156	Приспособлен	Приспособлен
127	Управление социальной защиты населения Хорошевского района города Москвы САО	123007 Москва, Хорошевское ш., д. 86, корп. 5	не приспособлен	частично приспособлен
128	Управление социальной защиты населения района Хорошево-Мневники	г. Москва, бульвар генерала Карбышева, д. 14	Частично приспособлено	Частично приспособлено
129	Управление социальной защиты населения района Черемушки города Москвы	Москва, 117418, ул. Новочеремушкинская, д. 57, корп. 2	приспособлено	приспособлено
130	Управление социальной защиты населения района Южное Медведково	Москва, проезд Дежнева, д.34	приспособлено	приспособлено
131	Управление социальной защиты населения района Ясенево города Москвы ЮЗАО	г.Москва, ул. Голубинская, дом 31, корп.1	Приспособлен	Приспособлен
132	УСЗН района Восточный города Москвы ВАО	105173, Москва, ул. 9 Мая, д. 14а	приспособлен	частично приспособлен
133	ГБУ ТЦСО №5	Тимирязевская,10/12	Не приспособлено	частично приспособлено
134	ГБУ ТЦСО №5	Дмитровский пр.,20 кор.2	Не приспособлено	Не приспособлено
135	ГБУ Территориальный Центр социального обслуживания №7	Ленинградский проспект д.23	Не приспособлен	Не приспособлен
136	ГБУ Территориальный Центр социального обслуживания №7	Ул.Правды д.1/2	Частично-приспособлен	Приспособлен
137	ТЦСО№7 филиал «Аэропорт»	Москва, ул. Черняховского, д.14	Не приспособлен	Частично-приспособлен
138	ТЦСО№7 филиал «Савеловский»	ул. 1-ая Хуторская, д. 5А	приспособлен	приспособлен
139	ТЦСО№7 филиал «Сокол»	ул. Сальвадора Альенде, дом 1	Частично-приспособлен	Частично-приспособлен
140	ТЦСО№7 филиал «Хорошевский»	Хорошевское шоссе д.82 к.7;	Частично-приспособлен	приспособлен
141	ТЦСО№7 филиал «Хорошевский»	Хорошевское шоссе д.68 к.5	Частично-приспособлен	приспособлен
142	ТЦСО№7 филиал «Хорошевский»	проезд Аэропорта д.11	Не приспособлен	Не приспособлен
143	ГБУ ТЦСО № 4	г.Москва, ул.Дубнинская, д.31	идет капитальный ремонт учреждения, после окончания капитального ремонта помещения будут приспособлены для инвалидов по зрению	частично приспособлен
144	ТЦСО №4 филиал "Дмитровский"	г. Москва, ул. Долгопрудная, д.1/141	идет капитальный ремонт учреждения, после окончания капитального ремонта помещения будут приспособлены для инвалидов по зрению	приспособлен
145	ТЦСО №4 филиал "Западное Дегунино"	г. Москва, ул. Ивана Сусанина, д.2, корп.1	приспособлен	частично приспособлен
146	ГБУ ТЦСО № 11	Москва, ул. Палехская, д.14	Не приспособлен	Частично приспособлен
147	ГБУ ТЦСО № 11	Москва, ул. Палехская, д.11, корп.2	Не приспособлен	Частично приспособлен
148	ГБУ ТЦСО № 11	Москва, ул. Ярославское ш. д.22, корп.3	Не приспособлен	приспособлен
149	ГБУ ТЦСО № 11 филиал «Лосиноостровский»	Москва, ул. Магаданская, д.9	частично приспособлен	Частично приспособлен
150	ГБУ ТЦСО № 11 филиал «Ростокино»	Москва, ул. Бажова, д.5	Не приспособлен	Частично приспособлен
151	ГБУ ТЦСО № 11	Москва, пр-д Нансена, д.12, корп.1	приспособлен	приспособлен
152	ГБУ ТЦСО № 11	Москва, Берингов пр-д, д.3	Частично приспособлен	приспособлен
153	ТЦСО № 10	ул. Пришвина, д.12, корп.2	Приспособлен	Приспособлен
154	ТЦСО № 10	Ул. Мурановская, д.8	Приспособлен	Приспособлен
155	ТЦСО № 10	Ул. Плещеева, д.15, стр.Б	Не приспособлен	Частично приспособлен
156	ТЦСО № 10	Путевой проезд, д.20, корп.2	Приспособлен	Приспособлен
157	ТЦСО № 10	Алтуфьевское ш., д.56	Не приспособлен	Не приспособлен
158	ТЦСО № 10	Ул. Новгородская, д.32	Частично приспособлен	Приспособлен
159	ТЦСО № 10	ул. 1-я Северная линия, д.3	Приспособлен	Приспособлен
160	ТЦСО № 10	Челобитьевское ш., д.12.,к.3.	Не приспособлен	Приспособлен
161	ГБУ ТЦСО № 13 базовый центр	105203, Москва, Средняя Первомайская Ул. д. 46	Не приспособлен	приспособлен
162	ГБУ ТЦСО № 13 базовый центр	105077, Москва, Средняя Первомайская Ул. д. 26	Частично приспособлен	приспособлен
163	ГБУ ТЦСО № 13 филиал «Северное Измайлово»	105523, Москва, 15 Парковая ул,47-5	не приспособлен	частично приспособлен
164	ГБУ ТЦСО № 13 филиал «Северное Измайлово»	105425, Москва, Щелковское шоссе, д.24	не приспособлен	частично приспособлен
165	ГБУ ТЦСО № 13 филиал «Измайлово»	105037, Москва, Ул. Первомайская, д. 3 корп. 1	Не приспособлен	частично-приспособлен
166	ГБУ ТЦСО № 13 филиал «Гольяново»	107497, Москва, ул. Новосибирская, д.3	Не приспособлен	Приспособлен
167	ГБУ ТЦСО № 16 (Жулебино)	Москва, Жулебинский бульвар д. 40, корп.1	Частично приспособлен	Частично приспособлен
168	Филиал «Выхино»	Москва, ул. Хлобыстова дом 8, корпус 2	Частично приспособлен	Частично приспособлен
169	Филиал «Выхино»	Москва, Волгоградский проспект дом 197	Не приспособлен	Не приспособлен
170	Филиал «Выхино»	Москва, Ферганский проезд дом 7, корпус 6	Частично приспособлен	Частично приспособлен
171	Филиал «Выхино»	Москва, Рязанский проспект, дом 64, корпус 2	Частично приспособлен	Частично приспособлен
172	Филиал «Некрасовка»	Москва, улица 1-ая Вольская, дом 18, корпус 3.	Частично приспособлен	Частично приспособлен
173	Государственное бюджетное учреждение города Москвы Геронтопсихиатрический центр милосердия Департамента социальной защиты населения города  Москвы	Москва, Шипиловский проезд, дом 31	Не приспособлен	Частично приспособлен
174	Государственное бюджетное учреждение города Москвы Дом ветеранов сцены имени А.А. Яблочкиной (ГБУ ДВС им. А.А. Яблочкиной)	Москва, Шоссе Энтузиастов, д. 88	Не приспособлен	Частично приспособлен
175	Государственное казённое учреждение детский дом-интернат № 7 ДСЗН г.Москвы	г. Москва улица Профсоюзная дом 47 корпус 2	Не приспособлен	Частично приспособлен
176	Государственное казенное учреждение города Москвы Детский дом-интернат для умственно отсталых детей № 15 Департамента социальной защиты населения города Москвы	Москва, ул. Академика Павлова, д.15	не приспособлен	частично приспособлен
177	ГКУ ДДИ №21	Москва, ул. Сосновая, д.8	не приспособлен	частично приспособлен
178	Государственное казенное учреждение  города Москвы Детский дом-интернат для умственно отсталых детей № 24	г. Москва, Сколковское шоссе д.6	Не приспособлен	Не приспособлен
179	Государственное казенное учреждение города Москвы детский дом-интернат для умственно отсталых детей «Южное Бутово» Департамента социальной защиты населения города Москвы (ГКУ ДДИ «Южное Бутово»)	117042, Москва, ул. Южнобутовская, д.19	Не приспособлено	Частично приспособлено
180	Государственное казенное учреждение города Москвы Детский дом-интернат для умственно отсталых детей №8 Департамента социальной защиты населения города Москвы	г. Москва, Борисовский проезд, д.3, корп.3	Частично приспособлен	Частично приспособлен
181	Управление социальной защиты населения Северного администртивного округа города Москвы	г. Москва, ул. Дубнинская, д. 26., корп.1	частично приспособлен	частично приспособлен
182	Государственное казенное учреждение города Москвы Детский дом-интернат для умственно отсталых детей №8 Департамента социальной защиты населения города Москвы	г. Москва, Борисовский проезд, д.3, корп.3	Частично приспособлен	Частично приспособлен
183	Государственное бюджетное учреждение города Москвы пансионат «Никольский парк»	124482, г. Москва, Зеленоград, Никольский проезд, д. 5	Не приспособлен	Частично приспособлен
184	ГБУ ПВТ №1	Москва, ул. Правобережная , дом 4	Не приспособлен	Частично приспособлен
185	ГБУ пансионат для ветеранов труда № 9	Москва, ул.Вилиса Лациса д.2	частично приспособлен	частично приспособлен
186	ГБУ города Москвы Пансионат для ветеранов труда №29 Департамента социальной защиты населения города Москвы	119501, г. Москва, ул. Нежинская, дом 2	частично приспособлен	приспособлен
187	ГБУ СРЦ ВВ и ВС	Москва, Олимпийский проспект, дом 7, корп.1	не приспособлен	приспособлен
188	Государственное бюджетное учреждение города Москвы Пансионат для ветеранов труда №19 Департамента социальной защиты населения города Москвы	105484, г. Москва, ул. Парковая 16-я, д.16	Частично приспособлен	Частично приспособлен
189	Государственное бюджетное учреждение города Москвы Пансионат для ветеранов труда № 31 (ГБУ  ПВТ № 31) Департамента социальной защиты населения города Москвы	117321, г. Москва,               ул. Островитянова,          д. 16 корп. 5	частично приспособлен	полностью приспособлен
190	Государственное бюджетное учреждение города Москвы Психоневрологический интернат №4	Город Москва 121433, ул. Полосухина, д.3	Не приспособлен	Не приспособлен
191	ГБУ Психоневрологический интернат №11	г. Москва ул. Ставропольская   д 37	не приспособлен	частично приспособлен
192	ГБУ Психоневрологический интернат № 12 Департамента социальной защиты города Москвы	Москва, ул. 9-я парковая 53	не приспособлен	частично приспособлен
193	Государственное бюджетное учреждение города Москвы Психоневрологический интернат №16 Департамента социальной защиты населения города Москвы	115487, г.Москва, ул. Садовники, д. 15	не приспособлен	частично приспособлен
194	Государственное бюджетное учреждение города Москвы Психоневрологический интернат № 20 Департамента социальной защиты населения города Москвы	119421, Москва, ул. Обручева, д. 28, кор. 4	не приспособлен	частично приспособлен
195	ГБУ ПНИ №22	Москва ул. Лосиноостровская, д.27	не приспособлен	частично приспособлен
196	Государственное бюджетное учреждение города Москвы Психоневрологический интернат № 25 (ГБУ ПНИ № 25)	Москва, ул. Талдомская, д.6	не приспособлен	частично приспособлен
197	Государственное бюджетное учреждение города Москвы Психоневрологический интернат №30 Департамента социальной защиты населения города Москвы	Москва, ул.Днепропетровская, д.14	Не приспособлен	Частично приспособлен
198	ГБУ "Пансионат для инвалидов по зрению"	142854, Московская область, Ступинский район, сельское поселение Аксиньское, в районе д. Карпово	Частично приспособлен	Частично приспособлен
199	ГБУ ПВВТ "Турист"	Московская область,Дмитровский район,городское поселение Деденево,рабочий поселок Деденево,ул. Советская, д. 32А	частично приспособлен	частично приспособлен
200	ГБУ ПНИ № 2	Серпуховский район, м. Данки	частично приспособлен	частично приспособлен
201	ГБУ ПНИ №3 ДСЗН	Московская область, Дмитровский район, пос. Луговой	не приспособлен	не приспособлен
202	Государственное бюджетное учреждение города Москвы Психоневрологический интернат № 13 Департамента социальной защиты населения города Москвы	Московская область, Ступинский район, село Лужники	Не приспособлен	Частично приспособлен
203	Государственное бюджетное учреждение города Москвы Реабилитационный центр для инвалидов Департамента социальной защиты населения города Москвы Филиал  «Виват»	143150, Московская область, Рузский район, сельское поселение Старорузское, д.Нестерово	Частично приспособлен	Приспособлен
