streetname,areaid,okrug,area
Гончарная набережная,18,ЦАО,Таганский район
1-й Гончарный переулок,18,ЦАО,Таганский район
2-й Гончарный переулок,18,ЦАО,Таганский район
Гончарный проезд,18,ЦАО,Таганский район
Динамовская улица,18,ЦАО,Таганский район
2-й Динамовский переулок,18,ЦАО,Таганский район
Добровольческая улица,18,ЦАО,Таганский район
Добровольческий переулок,18,ЦАО,Таганский район
Большой Дровяной переулок,18,ЦАО,Таганский район
Малый Дровяной переулок,18,ЦАО,Таганский район
1-я Дубровская улица,18,ЦАО,Таганский район
2-я Дубровская улица,18,ЦАО,Таганский район
улица Золоторожский Вал,18,ЦАО,Таганский район
Иерусалимская улица,18,ЦАО,Таганский район
Иерусалимский проезд,18,ЦАО,Таганский район
Известковый переулок,18,ЦАО,Таганский район
площадь Рогожская Застава,18,ЦАО,Таганский район
Большая Калитниковская улица,18,ЦАО,Таганский район
Малая Калитниковская улица,18,ЦАО,Таганский район
Средняя Калитниковская улица,18,ЦАО,Таганский район
Большой Калитниковский проезд,18,ЦАО,Таганский район
Малый Калитниковский проезд,18,ЦАО,Таганский район
улица Большие Каменщики,18,ЦАО,Таганский район
улица Малые Каменщики,18,ЦАО,Таганский район
Качалинская улица,18,ЦАО,Таганский район
Китайгородский проезд,18,ЦАО,Таганский район
Ковров переулок,18,ЦАО,Таганский район
улица Александра Солженицына,18,ЦАО,Таганский район
улица Станиславского,18,ЦАО,Таганский район
Коммунистический переулок,18,ЦАО,Таганский район
Костомаровская набережная,18,ЦАО,Таганский район
Костомаровский переулок,18,ЦАО,Таганский район
Котельническая набережная,18,ЦАО,Таганский район
1-й Котельнический переулок,18,ЦАО,Таганский район
2-й Котельнический переулок,18,ЦАО,Таганский район
3-й Котельнический переулок,18,ЦАО,Таганский район
4-й Котельнический переулок,18,ЦАО,Таганский район
5-й Котельнический переулок,18,ЦАО,Таганский район
Краснохолмская набережная,18,ЦАО,Таганский район
площадь Крестьянская Застава,18,ЦАО,Таганский район
Крестьянская площадь,18,ЦАО,Таганский район
Крестьянский тупик,18,ЦАО,Таганский район
Крутицкая набережная,18,ЦАО,Таганский район
Крутицкая улица,18,ЦАО,Таганский район
1-й Крутицкий переулок,18,ЦАО,Таганский район
3-й Крутицкий переулок,18,ЦАО,Таганский район
4-й Крутицкий переулок,18,ЦАО,Таганский район
Лавров переулок,18,ЦАО,Таганский район
Лыщиков переулок,18,ЦАО,Таганский район
Марксистская улица,18,ЦАО,Таганский район
Марксистский переулок,18,ЦАО,Таганский район
Мартыновский переулок,18,ЦАО,Таганский район
переулок Маяковского,18,ЦАО,Таганский район
Международная улица,18,ЦАО,Таганский район
Средний Международный переулок,18,ЦАО,Таганский район
улица Мельникова,18,ЦАО,Таганский район
Мельницкий переулок,18,ЦАО,Таганский район
Михайловский проезд,18,ЦАО,Таганский район
Моревский проезд,18,ЦАО,Таганский район
Москворецкая набережная,18,ЦАО,Таганский район
Народная улица,18,ЦАО,Таганский район
Наставнический переулок,18,ЦАО,Таганский район
Средний Наставнический переулок,18,ЦАО,Таганский район
Нижегородская улица,18,ЦАО,Таганский район
Нижегородский переулок,18,ЦАО,Таганский район
Большой Николоворобинский переулок,18,ЦАО,Таганский район
Малый Николоворобинский переулок,18,ЦАО,Таганский район
Николоямская набережная,18,ЦАО,Таганский район
Николоямский переулок,18,ЦАО,Таганский район
Николоямской тупик,18,ЦАО,Таганский район
Новоконная площадь,18,ЦАО,Таганский район
Новорогожская улица,18,ЦАО,Таганский район
Новоселенский переулок,18,ЦАО,Таганский район
Новоспасский переулок,18,ЦАО,Таганский район
Верхний Новоспасский проезд,18,ЦАО,Таганский район
Новоспасский проезд,18,ЦАО,Таганский район
улица Воронцово Поле,18,ЦАО,Таганский район
переулок Обуха,18,ЦАО,Таганский район
Пестовский переулок,18,ЦАО,Таганский район
Петропавловский переулок,18,ЦАО,Таганский район
Подгорская набережная,18,ЦАО,Таганский район
Подколокольный переулок,18,ЦАО,Таганский район
Полуярославская набережная,18,ЦАО,Таганский район
Большой Полуярославский переулок,18,ЦАО,Таганский район
Малый Полуярославский переулок,18,ЦАО,Таганский район
Андроньевская площадь,18,ЦАО,Таганский район
улица Прямикова,18,ЦАО,Таганский район
Рабочая улица,18,ЦАО,Таганский район
1-й Рабочий переулок,18,ЦАО,Таганский район
Верхняя Радищевская улица,18,ЦАО,Таганский район
Нижняя Радищевская улица,18,ЦАО,Таганский район
улица Рогожский Вал,18,ЦАО,Таганский район
Большой Рогожский переулок,18,ЦАО,Таганский район
Малый Рогожский переулок,18,ЦАО,Таганский район
Рюмин переулок,18,ЦАО,Таганский район
Саринский проезд,18,ЦАО,Таганский район
Серебряническая набережная,18,ЦАО,Таганский район
Серебрянический переулок,18,ЦАО,Таганский район
Сибирский проезд,18,ЦАО,Таганский район
Сивяков переулок,18,ЦАО,Таганский район
улица Симоновский Вал,18,ЦАО,Таганский район
Большой Симоновский переулок,18,ЦАО,Таганский район
Скотопрогонная улица,18,ЦАО,Таганский район
Славянская площадь,18,ЦАО,Таганский район
улица Солянка,18,ЦАО,Таганский район
Солянский проезд,18,ЦАО,Таганский район
Солянский тупик,18,ЦАО,Таганский район
Сосинская улица,18,ЦАО,Таганский район
Сосинский проезд,18,ЦАО,Таганский район
Стройковская улица,18,ЦАО,Таганский район
Съезжинский переулок,18,ЦАО,Таганский район
Верхняя Сыромятническая улица,18,ЦАО,Таганский район
2-й Сыромятнический переулок,18,ЦАО,Таганский район
3-й Сыромятнический переулок,18,ЦАО,Таганский район
Таганская площадь,18,ЦАО,Таганский район
Таганская улица,18,ЦАО,Таганский район
Верхний Таганский тупик,18,ЦАО,Таганский район
Нижний Таганский тупик,18,ЦАО,Таганский район
улица Талалихина,18,ЦАО,Таганский район
Тессинский переулок,18,ЦАО,Таганский район
Тетеринский переулок,18,ЦАО,Таганский район
Тихий тупик,18,ЦАО,Таганский район
Товарищеский переулок,18,ЦАО,Таганский район
Трудовая улица,18,ЦАО,Таганский район
улица Сергия Радонежского,18,ЦАО,Таганский район
Николоямская улица,18,ЦАО,Таганский район
Землянский переулок,18,ЦАО,Таганский район
Устьинская набережная,18,ЦАО,Таганский район
Устьинский проезд,18,ЦАО,Таганский район
Большой Факельный переулок,18,ЦАО,Таганский район
Малый Факельный переулок,18,ЦАО,Таганский район
Хлебников переулок,18,ЦАО,Таганский район
Чесменская улица,18,ЦАО,Таганский район
улица Земляной Вал,18,ЦАО,Таганский район
Шелапутинский переулок,18,ЦАО,Таганский район
Школьная улица,18,ЦАО,Таганский район
бульвар Энтузиастов,18,ЦАО,Таганский район
Яузская улица,18,ЦАО,Таганский район
площадь Яузские Ворота,18,ЦАО,Таганский район
Яузский бульвар,18,ЦАО,Таганский район
Астаховский мост,18,ЦАО,Таганский район
Высокояузский мост,18,ЦАО,Таганский район
Костомаровский мост,18,ЦАО,Таганский район
Большой Краснохолмский мост,18,ЦАО,Таганский район
Новоспасский мост,18,ЦАО,Таганский район
Большой Устьинский мост,18,ЦАО,Таганский район
Малый Устьинский мост,18,ЦАО,Таганский район
Никитский переулок,19,ЦАО,Тверской район
площадь Тверская Застава,19,ЦАО,Тверской район
Благовещенский переулок,19,ЦАО,Тверской район
Боровицкая площадь,19,ЦАО,Тверской район
площадь Борьбы,19,ЦАО,Тверской район
1-я Брестская улица,19,ЦАО,Тверской район
2-я Брестская улица,19,ЦАО,Тверской район
Большая Бронная улица,19,ЦАО,Тверской район
улица Бутырский Вал,19,ЦАО,Тверской район
Вадковский переулок,19,ЦАО,Тверской район
площадь Варварские Ворота,19,ЦАО,Тверской район
Васильевская улица,19,ЦАО,Тверской район
площадь Васильевский Спуск,19,ЦАО,Тверской район
Весковский переулок,19,ЦАО,Тверской район
Весковский тупик,19,ЦАО,Тверской район
Никольский переулок,19,ЦАО,Тверской район
2-й Волконский переулок,19,ЦАО,Тверской район
1-й Волконский переулок,19,ЦАО,Тверской район
Воротниковский переулок,19,ЦАО,Тверской район
улица Гашека,19,ЦАО,Тверской район
Георгиевский переулок,19,ЦАО,Тверской район
Большая Никитская улица,19,ЦАО,Тверской район
Большой Гнездниковский переулок,19,ЦАО,Тверской район
Малый Гнездниковский переулок,19,ЦАО,Тверской район
Горлов тупик,19,ЦАО,Тверской район
Тверская улица,19,ЦАО,Тверской район
улица Чаянова,19,ЦАО,Тверской район
Большая Грузинская улица,19,ЦАО,Тверской район
улица Грузинский Вал,19,ЦАО,Тверской район
Никольская улица,19,ЦАО,Тверской район
Дегтярный переулок,19,ЦАО,Тверской район
Делегатская улица,19,ЦАО,Тверской район
Лубянская площадь,19,ЦАО,Тверской район
Дмитровский переулок,19,ЦАО,Тверской район
улица Достоевского,19,ЦАО,Тверской район
переулок Достоевского,19,ЦАО,Тверской район
Большой Каретный переулок,19,ЦАО,Тверской район
Заставный переулок,19,ЦАО,Тверской район
площадь Звёзд Эстрады,19,ЦАО,Тверской район
площадь Ильинские Ворота,19,ЦАО,Тверской район
Ипатьевский переулок,19,ЦАО,Тверской район
проезд Воскресенские Ворота,19,ЦАО,Тверской район
Долгоруковская улица,19,ЦАО,Тверской район
Карелин проезд,19,ЦАО,Тверской район
Малый Каретный переулок,19,ЦАО,Тверской район
Средний Каретный переулок,19,ЦАО,Тверской район
улица Каретный Ряд,19,ЦАО,Тверской район
Китайгородский проезд,19,ЦАО,Тверской район
Козицкий переулок,19,ЦАО,Тверской район
1-й Колобовский переулок,19,ЦАО,Тверской район
2-й Колобовский переулок,19,ЦАО,Тверской район
3-й Колобовский переулок,19,ЦАО,Тверской район
Суворовская площадь,19,ЦАО,Тверской район
Копьевский переулок,19,ЦАО,Тверской район
Крапивенский переулок,19,ЦАО,Тверской район
Красная площадь,19,ЦАО,Тверской район
Краснопролетарская улица,19,ЦАО,Тверской район
Кремлёвский проезд,19,ЦАО,Тверской район
улица Кузнецкий Мост,19,ЦАО,Тверской район
Биржевая площадь,19,ЦАО,Тверской район
улица Ильинка,19,ЦАО,Тверской район
Богоявленский переулок,19,ЦАО,Тверской район
Лесная улица,19,ЦАО,Тверской район
1-й Лесной переулок,19,ЦАО,Тверской район
2-й Лесной переулок,19,ЦАО,Тверской район
3-й Лесной переулок,19,ЦАО,Тверской район
4-й Лесной переулок,19,ЦАО,Тверской район
Лихов переулок,19,ЦАО,Тверской район
Манежная улица,19,ЦАО,Тверской район
Старопименовский переулок,19,ЦАО,Тверской район
Миусская площадь,19,ЦАО,Тверской район
1-я Миусская улица,19,ЦАО,Тверской район
2-я Миусская улица,19,ЦАО,Тверской район
Миусский переулок,19,ЦАО,Тверской район
Петровский переулок,19,ЦАО,Тверской район
Москворецкая набережная,19,ЦАО,Тверской район
Москворецкая улица,19,ЦАО,Тверской район
Моховая улица,19,ЦАО,Тверской район
Нарышкинский проезд,19,ЦАО,Тверской район
Настасьинский переулок,19,ЦАО,Тверской район
переулок Александра Невского,19,ЦАО,Тверской район
улица Александра Невского,19,ЦАО,Тверской район
Неглинная улица,19,ЦАО,Тверской район
Брюсов переулок,19,ЦАО,Тверской район
Глинищевский переулок,19,ЦАО,Тверской район
Никитников переулок,19,ЦАО,Тверской район
Никоновский переулок,19,ЦАО,Тверской район
Новая площадь,19,ЦАО,Тверской район
Нововоротниковский переулок,19,ЦАО,Тверской район
Новолесная улица,19,ЦАО,Тверской район
Новолесной переулок,19,ЦАО,Тверской район
Новослободская улица,19,ЦАО,Тверской район
Новосущёвская улица,19,ЦАО,Тверской район
Газетный переулок,19,ЦАО,Тверской район
Оружейный переулок,19,ЦАО,Тверской район
улица Охотный Ряд,19,ЦАО,Тверской район
Малый Палашёвский переулок,19,ЦАО,Тверской район
улица Палиха,19,ЦАО,Тверской район
Перуновский переулок,19,ЦАО,Тверской район
улица Петровка,19,ЦАО,Тверской район
площадь Петровские Ворота,19,ЦАО,Тверской район
улица Петровские Линии,19,ЦАО,Тверской район
Петровский бульвар,19,ЦАО,Тверской район
Пименовский тупик,19,ЦАО,Тверской район
Политехнический проезд,19,ЦАО,Тверской район
Порядковый переулок,19,ЦАО,Тверской район
Приютский переулок,19,ЦАО,Тверской район
Малый Путинковский переулок,19,ЦАО,Тверской район
Пушкинская площадь,19,ЦАО,Тверской район
улица Большая Дмитровка,19,ЦАО,Тверской район
Пыхов-Церковный проезд,19,ЦАО,Тверской район
Манежная площадь,19,ЦАО,Тверской район
улица Варварка,19,ЦАО,Тверской район
Рахмановский переулок,19,ЦАО,Тверской район
площадь Революции,19,ЦАО,Тверской район
Рыбный переулок,19,ЦАО,Тверской район
Большая Садовая улица,19,ЦАО,Тверской район
Садовая-Каретная улица,19,ЦАО,Тверской район
Садовая-Самотёчная улица,19,ЦАО,Тверской район
Садовая-Триумфальная улица,19,ЦАО,Тверской район
Мамоновский переулок,19,ЦАО,Тверской район
Самотёчная площадь,19,ЦАО,Тверской район
Самотёчная улица,19,ЦАО,Тверской район
1-й Самотёчный переулок,19,ЦАО,Тверской район
2-й Самотёчный переулок,19,ЦАО,Тверской район
3-й Самотёчный переулок,19,ЦАО,Тверской район
4-й Самотёчный переулок,19,ЦАО,Тверской район
Ветошный переулок,19,ЦАО,Тверской район
Театральная площадь,19,ЦАО,Тверской район
Селезнёвская улица,19,ЦАО,Тверской район
Семинарский тупик,19,ЦАО,Тверской район
Лубянский проезд,19,ЦАО,Тверской район
Большой Путинковский переулок,19,ЦАО,Тверской район
Славянская площадь,19,ЦАО,Тверской район
Тверская площадь,19,ЦАО,Тверской район
Леонтьевский переулок,19,ЦАО,Тверской район
Вознесенский переулок,19,ЦАО,Тверской район
Старая площадь,19,ЦАО,Тверской район
Старопанский переулок,19,ЦАО,Тверской район
Столешников переулок,19,ЦАО,Тверской район
Страстной бульвар,19,ЦАО,Тверской район
Сущёвская улица,19,ЦАО,Тверской район
улица Сущёвский Вал,19,ЦАО,Тверской район
Сытинский переулок,19,ЦАО,Тверской район
1-я Тверская-Ямская улица,19,ЦАО,Тверской район
2-я Тверская-Ямская улица,19,ЦАО,Тверской район
3-я Тверская-Ямская улица,19,ЦАО,Тверской район
4-я Тверская-Ямская улица,19,ЦАО,Тверской район
Тверской бульвар,19,ЦАО,Тверской район
Тверской проезд,19,ЦАО,Тверской район
1-й Тверской-Ямской переулок,19,ЦАО,Тверской район
2-й Тверской-Ямской переулок,19,ЦАО,Тверской район
Театральный проезд,19,ЦАО,Тверской район
Тихвинская улица,19,ЦАО,Тверской район
Тихвинский переулок,19,ЦАО,Тверской район
1-й Тихвинский тупик,19,ЦАО,Тверской район
Третьяковский проезд,19,ЦАО,Тверской район
Трёхпрудный переулок,19,ЦАО,Тверской район
Триумфальная площадь,19,ЦАО,Тверской район
Трубная площадь,19,ЦАО,Тверской район
Угловой переулок,19,ЦАО,Тверской район
Успенский переулок,19,ЦАО,Тверской район
улица Фадеева,19,ЦАО,Тверской район
улица Знаменка,19,ЦАО,Тверской район
улица Юлиуса Фучика,19,ЦАО,Тверской район
Хрустальный переулок,19,ЦАО,Тверской район
Камергерский переулок,19,ЦАО,Тверской район
Цветной бульвар,19,ЦАО,Тверской район
Большой Черкасский переулок,19,ЦАО,Тверской район
Малый Черкасский переулок,19,ЦАО,Тверской район
переулок Чернышевского,19,ЦАО,Тверской район
улица Малая Дмитровка,19,ЦАО,Тверской район
1-й Щемиловский переулок,19,ЦАО,Тверской район
2-й Щемиловский переулок,19,ЦАО,Тверской район
Большой Палашёвский переулок,19,ЦАО,Тверской район
Косой переулок,19,ЦАО,Тверской район
Сущёвский тупик,19,ЦАО,Тверской район
Большой Каменный мост,19,ЦАО,Тверской район
Большой Москворецкий мост,19,ЦАО,Тверской район
Филипповский переулок,12,ЦАО,Район Арбат
Арбатская площадь,12,ЦАО,Район Арбат
улица Павла Андреева,14,ЦАО,Район Замоскворечье
улица Балчуг,14,ЦАО,Район Замоскворечье
улица Бахрушина,14,ЦАО,Район Замоскворечье
Валовая улица,14,ЦАО,Район Замоскворечье
Вишняковский переулок,14,ЦАО,Район Замоскворечье
Голиковский переулок,14,ЦАО,Район Замоскворечье
улица Коровий Вал,14,ЦАО,Район Замоскворечье
улица Арбат,12,ЦАО,Район Арбат
Серпуховская площадь,14,ЦАО,Район Замоскворечье
1-й Добрынинский переулок,14,ЦАО,Район Замоскворечье
4-й Добрынинский переулок,14,ЦАО,Район Замоскворечье
Дубининская улица,14,ЦАО,Район Замоскворечье
Жуков проезд,14,ЦАО,Район Замоскворечье
улица Зацепа,14,ЦАО,Район Замоскворечье
Зацепская площадь,14,ЦАО,Район Замоскворечье
улица Зацепский Вал,14,ЦАО,Район Замоскворечье
Зацепский тупик,14,ЦАО,Район Замоскворечье
Большая Татарская улица,14,ЦАО,Район Замоскворечье
площадь Арбатские Ворота,12,ЦАО,Район Арбат
Иверский переулок,14,ЦАО,Район Замоскворечье
Кадашёвская набережная,14,ЦАО,Район Замоскворечье
Климентовский переулок,14,ЦАО,Район Замоскворечье
Кожевническая улица,14,ЦАО,Район Замоскворечье
Кожевнический проезд,14,ЦАО,Район Замоскворечье
Комиссариатский переулок,14,ЦАО,Район Замоскворечье
Нижняя Краснохолмская улица,14,ЦАО,Район Замоскворечье
Павелецкая площадь,14,ЦАО,Район Замоскворечье
Летниковская улица,14,ЦАО,Район Замоскворечье
Люсиновская улица,14,ЦАО,Район Замоскворечье
Арбатский переулок,12,ЦАО,Район Арбат
1-й Люсиновский переулок,14,ЦАО,Район Замоскворечье
3-й Люсиновский переулок,14,ЦАО,Район Замоскворечье
Космодамианская набережная,14,ЦАО,Район Замоскворечье
Большой Ордынский переулок,14,ЦАО,Район Замоскворечье
Малый Ордынский переулок,14,ЦАО,Район Замоскворечье
1-й Монетчиковский переулок,14,ЦАО,Район Замоскворечье
2-й Монетчиковский переулок,14,ЦАО,Район Замоскворечье
3-й Монетчиковский переулок,14,ЦАО,Район Замоскворечье
4-й Монетчиковский переулок,14,ЦАО,Район Замоскворечье
5-й Монетчиковский переулок,14,ЦАО,Район Замоскворечье
Малый Афанасьевский переулок,12,ЦАО,Район Арбат
6-й Монетчиковский переулок,14,ЦАО,Район Замоскворечье
Мытная улица,14,ЦАО,Район Замоскворечье
Новокузнецкая улица,14,ЦАО,Район Замоскворечье
1-й Новокузнецкий переулок,14,ЦАО,Район Замоскворечье
2-й Новокузнецкий переулок,14,ЦАО,Район Замоскворечье
Овчинниковская набережная,14,ЦАО,Район Замоскворечье
Большой Овчинниковский переулок,14,ЦАО,Район Замоскворечье
Средний Овчинниковский переулок,14,ЦАО,Район Замоскворечье
Озерковская набережная,14,ЦАО,Район Замоскворечье
Озерковский переулок,14,ЦАО,Район Замоскворечье
Большой Николопесковский переулок,12,ЦАО,Район Арбат
улица Большая Ордынка,14,ЦАО,Район Замоскворечье
Садовническая улица,14,ЦАО,Район Замоскворечье
улица Малая Ордынка,14,ЦАО,Район Замоскворечье
Большая Пионерская улица,14,ЦАО,Район Замоскворечье
Малая Пионерская улица,14,ЦАО,Район Замоскворечье
Пятницкая улица,14,ЦАО,Район Замоскворечье
Пятницкий переулок,14,ЦАО,Район Замоскворечье
Раушская набережная,14,ЦАО,Район Замоскворечье
1-й Раушский переулок,14,ЦАО,Район Замоскворечье
2-й Раушский переулок,14,ЦАО,Район Замоскворечье
Денежный переулок,12,ЦАО,Район Арбат
Руновский переулок,14,ЦАО,Район Замоскворечье
Садовническая набережная,14,ЦАО,Район Замоскворечье
Садовнический переулок,14,ЦАО,Район Замоскворечье
Садовнический проезд,14,ЦАО,Район Замоскворечье
